\P\	Pos	CustomerID\
T	5	5
N	0	0
#		
V	724	29825
V	977	29672
V	1227	29734
V	1479	29994
V	1735	29565
V	1983	29898
V	2232	29580
V	2486	30052
V	2740	29974
V	2990	29614
V	3244	29747
V	3491	29566
V	3742	29890
V	3993	30067
V	4241	29844
V	4490	29596
V	4740	29827
V	4992	29811
V	5244	29824
V	5495	29889
V	5747	29761
V	5998	29489
V	6254	29661
V	6506	29759
V	6751	29497
V	7004	29912
V	7251	30084
V	7499	29606
V	7748	29610
V	7997	29718
V	8250	29646
V	8504	29533
V	8752	29570
V	8993	29992
V	9249	29491
V	9500	29549
V	9752	29958
V	10007	29849
V	10251	21768
V	10488	28389
V	10726	25863
V	10961	14501
V	11197	11003
V	11434	27645
V	11671	16624
V	11910	11005
V	12147	11011
V	12385	27621
V	12622	27616
V	12859	20042
V	13097	16351
V	13337	16517
V	13576	27606
V	13812	13513
V	14051	27601
V	14288	13591
V	14529	16483
V	14768	16529
V	15006	25249
V	15244	27668
V	15480	27612
V	15717	13264
V	15955	13590
V	16195	13581
V	16435	14520
V	16671	16520
V	16909	13258
V	17147	14560
V	17382	16607
V	17621	27666
V	17858	11238
V	18097	25861
V	18333	16629
V	18573	11025
V	18813	27577
V	19050	27604
V	19287	16522
V	19527	11002
V	19765	13261
V	19987	11606
V	20227	13563
V	20450	16527
V	20690	27671
V	20926	13576
V	21167	11007
V	21405	16631
V	21645	16514
V	21884	16616
V	22123	27623
V	22361	27625
V	22598	27636
V	22835	11591
V	23076	11592
V	23313	13265
V	23552	16482
V	23791	27617
V	24027	27670
V	24265	19941
V	24504	11017
V	24743	27646
V	24981	13257
V	25221	16352
V	25460	16493
V	25700	27578
V	25936	16525
V	26176	16612
V	26416	11010
V	26655	16518
V	26895	11001
V	27133	27649
V	27370	21659
V	27610	27614
V	27847	14559
V	28083	16524
V	28323	16526
V	28563	16348
V	28801	11027
V	29039	13260
V	29280	16515
V	29518	11018
V	29756	25252
V	29994	11599
V	30234	16495
V	30473	16516
V	30713	16620
V	30952	27667
V	31190	11601
V	31429	11607
V	31669	29385
V	31890	11239
V	32129	25865
V	32365	25857
V	32600	16484
V	32839	16623
V	33078	11000
V	33317	11029
V	33552	27615
V	33789	17956
V	34028	16345
V	34267	16521
V	34507	16636
V	34747	21710
V	34985	13583
V	35226	11593
V	35466	21741
V	35706	13585
V	35947	14510
V	36182	16523
V	36423	11611
V	36664	13259
V	36904	16350
V	37144	11004
V	37383	11026
V	37622	27662
V	37858	28390
V	38097	25866
V	38331	16494
V	38571	16496
V	38811	16519
V	39051	16528
V	39291	11006
V	39529	27651
V	39766	27663
V	40002	27669
V	40239	19942
V	40478	14558
