\P\	Pos	TerritoryID\
T	5	5
N	0	0
#		
V	253	6
V	343	1
V	432	5
V	522	3
V	613	1
V	710	4
V	800	6
V	899	8
V	988	4
V	1081	3
V	1173	2
V	1268	2
V	1372	2
V	1464	10
V	1556	5
V	1647	9
V	1741	5
V	1832	4
V	1920	8
V	2010	8
V	2101	1
V	2191	3
V	2279	1
V	2368	3
V	2460	2
V	2551	3
V	2641	5
V	2733	3
V	2826	6
V	2918	2
V	3015	6
V	3107	2
V	3199	2
V	3288	9
V	3388	3
V	3480	3
V	3573	3
V	3665	9
V	3773	5
V	3868	1
V	3959	6
V	4052	5
V	4150	3
V	4246	3
V	4338	6
V	4434	2
V	4531	2
V	4625	4
V	4719	6
V	4814	9
V	4913	6
V	5018	1
V	5108	8
V	5211	2
V	5303	2
V	5391	3
V	5483	6
V	5574	1
V	5664	2
V	5760	6
V	5864	5
V	5959	9
V	6048	6
V	6138	9
V	6232	2
V	6328	9
V	6427	5
V	6525	3
V	6621	6
V	6717	8
V	6809	9
V	6901	5
V	6994	4
V	7083	1
V	7171	5
V	7263	5
V	7361	9
V	7453	2
V	7544	1
V	7638	3
V	7731	5
V	7828	1
V	7919	6
V	8018	7
V	8098	8
V	8183	8
V	8263	7
V	8340	7
V	8419	7
V	8499	7
V	8596	7
V	8683	7
V	8772	7
V	8854	7
V	8936	7
V	9017	7
V	9095	7
V	9173	7
V	9254	7
V	9345	7
V	9428	7
V	9509	7
V	9592	7
V	9684	7
V	9763	7
V	9846	7
V	9926	7
V	10011	7
V	10100	7
V	10181	7
V	10264	7
V	10344	7
V	10425	7
V	10504	7
V	10591	7
V	10676	7
V	10755	7
V	10845	7
V	10924	7
V	11006	7
V	11089	7
V	11179	7
V	11259	7
V	11348	7
V	11429	7
V	11508	7
V	11589	7
V	11676	7
V	11756	7
V	11844	7
V	11935	7
V	12016	7
V	12094	7
V	12183	7
V	12265	7
V	12354	7
V	12435	7
V	12515	7
V	12603	7
V	12685	7
V	12778	7
V	12858	7
V	12941	7
V	13023	7
V	13105	7
V	13184	7
V	13263	7
V	13342	7
V	13430	7
V	13517	7
V	13614	7
V	13708	7
V	13804	7
V	13889	7
V	13975	7
V	14056	7
V	14145	7
V	14235	7
V	14316	7
V	14397	7
V	14484	7
V	14572	7
V	14661	7
V	14750	7
V	14832	7
V	14921	7
V	15001	7
V	15081	7
V	15172	7
V	15250	7
V	15333	7
V	15418	7
V	15499	7
V	15588	7
V	15669	7
V	15749	7
V	15847	7
V	15929	7
V	16018	7
V	16110	7
V	16197	7
