\P\	Pos	StateProvinceID\
T	5	5
N	0	0
#
V	225	79
V	365	79
V	510	79
V	657	79
V	800	79
V	940	79
V	1087	79
V	1227	79
V	1372	79
V	1516	79
V	1658	79
V	1805	79
V	1953	79
V	2092	79
V	2232	79
V	2374	79
V	2514	79
V	2659	79
V	2803	79
V	2947	79
V	3093	79
V	3239	58
V	3385	79
V	3534	36
V	3679	73
V	3822	9
V	3971	74
V	4118	6
V	4261	72
V	4406	15
V	4554	57
V	4709	63
V	4857	1
V	5004	119
V	5161	20
V	5301	77
V	5446	14
V	5591	35
V	5734	30
V	5880	79
V	6023	79
V	6170	79
V	6318	79
V	6464	79
V	6607	79
V	6756	79
V	6901	79
V	7047	79
V	7191	79
V	7330	79
V	7472	79
V	7622	79
V	7767	79
V	7919	79
V	8066	79
V	8216	79
V	8366	79
V	8518	79
V	8668	79
V	8810	79
V	8960	79
V	9107	79
V	9256	79
V	9399	79
V	9539	79
V	9680	79
V	9830	79
V	9976	79
V	10116	79
V	10260	79
V	10403	79
V	10548	79
V	10694	79
V	10835	79
V	10979	79
V	11128	79
V	11275	79
V	11423	79
V	11570	79
V	11718	79
V	11864	79
V	12012	79
V	12156	79
V	12311	79
V	12456	79
V	12598	79
V	12745	79
V	12891	79
V	13040	79
V	13186	79
V	13334	79
V	13477	79
V	13620	79
V	13766	79
V	13912	79
V	14057	79
V	14206	79
V	14351	79
V	14496	79
V	14644	79
V	14788	79
V	14941	79
V	15088	79
V	15237	79
V	15388	79
V	15536	79
V	15680	79
V	15825	79
V	15978	79
V	16123	79
V	16272	79
V	16413	79
V	16560	79
V	16703	79
V	16848	79
V	16993	79
V	17139	79
V	17282	79
V	17427	79
V	17574	79
V	17718	79
V	17865	79
V	18008	79
V	18156	79
V	18301	79
V	18447	79
V	18594	79
V	18743	79
V	18893	79
V	19040	79
V	19187	79
V	19325	79
V	19474	79
V	19619	79
V	19764	79
V	19906	79
V	20050	79
V	20197	79
V	20338	79
V	20482	79
V	20624	79
V	20770	79
V	20918	79
V	21062	79
V	21209	79
V	21359	79
V	21503	79
V	21651	79
V	21793	79
V	21939	79
V	22082	79
V	22228	79
V	22378	79
V	22529	79
V	22675	79
V	22819	79
V	22967	79
V	23112	79
V	23261	79
V	23409	79
V	23557	79
V	23696	79
V	23846	79
V	23991	79
V	24141	79
V	24286	79
V	24435	79
V	24588	79
V	24734	79
V	24881	79
V	25036	79
V	25181	79
V	25328	79
V	25474	79
V	25622	79
V	25772	79
V	25918	79
V	26062	79
V	26204	79
V	26359	79
V	26503	79
V	26650	79
V	26799	79
V	26950	79
V	27096	79
V	27241	79
V	27388	79
V	27532	79
V	27674	79
V	27816	79
