\P\	Pos	UnitMeasureCode\
T	5	$
N	0	1
#
V	269	EA 
V	332	EA 
V	414	EA 
V	476	EA 
V	539	EA 
V	603	EA 
V	686	EA 
V	750	EA 
V	814	EA 
V	878	EA 
V	942	EA 
V	1006	EA 
V	1070	EA 
V	1134	EA 
V	1198	EA 
V	1262	EA 
V	1326	EA 
V	1390	EA 
V	1454	EA 
V	1518	EA 
V	1582	EA 
V	1646	EA 
V	1729	EA 
V	1793	EA 
V	1857	EA 
V	1921	EA 
V	1985	EA 
V	2049	EA 
V	2113	EA 
V	2177	EA 
V	2238	EA 
V	2302	EA 
V	2366	EA 
V	2430	EA 
V	2494	EA 
V	2557	EA 
V	2619	EA 
V	2683	EA 
V	2746	EA 
V	2810	EA 
V	2871	EA 
V	2935	EA 
V	2999	EA 
V	3063	EA 
V	3127	EA 
V	3191	EA 
V	3255	EA 
V	3319	EA 
V	3383	EA 
V	3447	EA 
V	3511	EA 
V	3574	EA 
V	3657	EA 
V	3720	EA 
V	3784	EA 
V	3848	EA 
V	3911	EA 
V	3973	EA 
V	4037	EA 
V	4101	EA 
V	4165	EA 
V	4229	EA 
V	4293	EA 
V	4357	EA 
V	4421	EA 
V	4485	EA 
V	4549	EA 
V	4613	EA 
V	4677	EA 
V	4740	EA 
V	4804	EA 
V	4868	EA 
V	4932	EA 
V	4996	EA 
V	5060	EA 
V	5123	EA 
V	5185	EA 
V	5268	EA 
V	5331	EA 
V	5395	EA 
V	5457	EA 
V	5520	EA 
V	5584	EA 
V	5647	EA 
V	5711	EA 
V	5775	EA 
V	5839	EA 
V	5902	EA 
V	5964	EA 
V	6027	EA 
V	6091	EA 
V	6155	EA 
V	6219	EA 
V	6283	EA 
V	6347	EA 
V	6408	EA 
V	6472	EA 
V	6536	EA 
V	6600	EA 
V	6663	EA 
V	6726	EA 
V	6790	EA 
V	6873	EA 
V	6937	EA 
V	7001	EA 
V	7066	EA 
V	7130	EA 
V	7194	EA 
V	7261	EA 
V	7328	EA 
V	7394	EA 
V	7461	EA 
V	7528	EA 
V	7595	EA 
V	7662	EA 
V	7728	EA 
V	7794	EA 
V	7861	EA 
V	7927	EA 
V	7994	EA 
V	8060	EA 
V	8127	EA 
V	8194	EA 
V	8261	EA 
V	8328	EA 
V	8395	EA 
V	8462	EA 
V	8529	EA 
V	8596	EA 
V	8663	EA 
V	8729	EA 
V	8796	EA 
V	8863	EA 
V	8930	EA 
V	8995	EA 
V	9062	EA 
V	9129	EA 
V	9214	EA 
V	9280	EA 
V	9366	EA 
V	9432	EA 
V	9499	EA 
V	9566	EA 
V	9633	EA 
V	9700	EA 
V	9766	EA 
V	9833	EA 
V	9900	EA 
V	9967	EA 
V	10033	EA 
V	10099	EA 
V	10166	EA 
V	10233	EA 
V	10299	EA 
V	10365	EA 
V	10432	EA 
V	10499	EA 
V	10566	EA 
V	10652	EA 
V	10718	EA 
V	10784	EA 
V	10851	EA 
V	10918	EA 
V	11004	EA 
V	11071	EA 
V	11137	EA 
V	11203	EA 
V	11270	EA 
V	11337	EA 
V	11404	EA 
V	11471	EA 
V	11538	OZ 
V	11624	OZ 
V	11691	EA 
V	11757	EA 
V	11823	EA 
V	11889	EA 
V	11955	EA 
V	12021	EA 
V	12088	EA 
V	12155	EA 
V	12222	EA 
V	12289	OZ 
V	12355	EA 
V	12421	EA 
V	12488	EA 
V	12554	EA 
V	12620	EA 
V	12687	EA 
V	12754	EA 
V	12821	EA 
V	12888	EA 
V	12955	OZ 
V	13040	OZ 
V	13106	EA 
V	13172	EA 
V	13238	EA 
V	13304	EA 
V	13370	EA 
V	13437	EA 
V	13504	EA 
V	13571	EA 
V	13657	EA 
V	13724	EA 
V	13791	OZ 
V	13857	EA 
V	13923	EA 
V	13989	EA 
V	14055	EA 
V	14121	EA 
V	14188	EA 
V	14255	EA 
V	14322	EA 
V	14389	EA 
V	14456	OZ 
V	14541	OZ 
V	14607	EA 
V	14673	EA 
V	14739	EA 
V	14805	EA 
V	14871	EA 
V	14938	EA 
V	15005	EA 
V	15072	EA 
V	15139	EA 
V	15206	OZ 
V	15272	EA 
V	15338	EA 
V	15424	EA 
V	15490	EA 
V	15556	EA 
V	15622	EA 
V	15689	EA 
V	15756	EA 
V	15823	EA 
V	15890	EA 
V	15957	OZ 
V	16023	EA 
V	16089	EA 
V	16155	EA 
