\P\	BillOfMaterialsID	ProductAssemblyID	ComponentID	StartDate	EndDate	UnitMeasureCode	BOMLevel	PerAssemblyQty	ModifiedDate\
T	5	5	5	D	D	$	5	7	D
N	0	0	0	0	0	1	0	0	0
K	1	0	0	0	0	0	0	0	0
t		Product	Product			UnitMeasure			
c		ProductID	ProductID			UnitMeasureCode			
#									
V	893		749	2010-05-26 00:00:00		EA 	0	1.00	2010-05-12 00:00:00
V	271		750	2010-03-04 00:00:00	2010-05-03 00:00:00	EA 	0	1.00	2010-05-03 00:00:00
V	34		750	2010-05-04 00:00:00		EA 	0	1.00	2010-04-20 00:00:00
V	830		751	2010-05-26 00:00:00		EA 	0	1.00	2010-05-12 00:00:00
V	2074		752	2010-07-08 00:00:00		EA 	0	1.00	2010-06-24 00:00:00
V	1950		753	2010-06-19 00:00:00	2010-08-18 00:00:00	EA 	0	1.00	2010-08-18 00:00:00
V	1761		753	2010-08-19 00:00:00		EA 	0	1.00	2010-08-05 00:00:00
V	3088		754	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	3351		755	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	3246		756	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2760		757	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2395		758	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	3087		759	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	3350		760	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2822		761	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	3245		762	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2759		763	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2394		764	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	3341		765	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2815		766	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2449		767	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	2899		768	2010-09-15 00:00:00	2010-11-14 00:00:00	EA 	0	1.00	2010-11-14 00:00:00
V	2738		768	2010-11-15 00:00:00		EA 	0	1.00	2010-11-01 00:00:00
V	2363		769	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	1265		770	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	1195		771	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	3017		772	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	3281		773	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2783		774	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	5		775	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	2737		776	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2362		777	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	1264		778	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	1642		779	2010-06-19 00:00:00		EA 	0	1.00	2010-06-05 00:00:00
V	393		780	2010-03-18 00:00:00		EA 	0	1.00	2010-03-04 00:00:00
V	52		781	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	3217		782	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	808		783	2010-05-26 00:00:00		EA 	0	1.00	2010-05-12 00:00:00
V	2049		784	2010-07-08 00:00:00		EA 	0	1.00	2010-06-24 00:00:00
V	4		785	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	2736		786	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2361		787	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	1263		788	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	3247		789	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2761		790	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2396		791	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	3089		792	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	2739		793	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2364		794	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	1266		795	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	482		796	2010-03-18 00:00:00		EA 	0	1.00	2010-03-04 00:00:00
V	1024		797	2010-05-26 00:00:00	2010-07-25 00:00:00	EA 	0	1.00	2010-07-25 00:00:00
V	783		797	2010-07-26 00:00:00		EA 	0	1.00	2010-07-12 00:00:00
V	2333		798	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	1240		799	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	450		800	2010-03-18 00:00:00		EA 	0	1.00	2010-03-04 00:00:00
V	92		801	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	1303		953	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	1699		954	2010-06-19 00:00:00		EA 	0	1.00	2010-06-05 00:00:00
V	3060		955	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	3326		956	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2107		957	2010-07-08 00:00:00		EA 	0	1.00	2010-06-24 00:00:00
V	2800		958	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	1778		959	2010-06-19 00:00:00		EA 	0	1.00	2010-06-05 00:00:00
V	3102		960	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	2027		961	2010-07-08 00:00:00		EA 	0	1.00	2010-06-24 00:00:00
V	1698		962	2010-06-19 00:00:00		EA 	0	1.00	2010-06-05 00:00:00
V	3059		963	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	879		964	2010-05-26 00:00:00		EA 	0	1.00	2010-05-12 00:00:00
V	1789		965	2010-06-19 00:00:00		EA 	0	1.00	2010-06-05 00:00:00
V	3037		966	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	3304		967	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2801		968	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	1779		969	2010-06-19 00:00:00		EA 	0	1.00	2010-06-05 00:00:00
V	419		970	2010-03-18 00:00:00		EA 	0	1.00	2010-03-04 00:00:00
V	73		971	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	1071		972	2010-05-26 00:00:00	2010-07-25 00:00:00	EA 	0	1.00	2010-07-25 00:00:00
V	867		972	2010-07-26 00:00:00		EA 	0	1.00	2010-07-12 00:00:00
V	2993		973	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	33		974	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	829		975	2010-05-26 00:00:00		EA 	0	1.00	2010-05-12 00:00:00
V	2073		976	2010-07-08 00:00:00		EA 	0	1.00	2010-06-24 00:00:00
V	103		977	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	1668		978	2010-06-19 00:00:00		EA 	0	1.00	2010-06-05 00:00:00
V	3036		979	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	1641		980	2010-06-19 00:00:00		EA 	0	1.00	2010-06-05 00:00:00
V	392		981	2010-03-18 00:00:00		EA 	0	1.00	2010-03-04 00:00:00
V	51		982	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	850		983	2010-05-26 00:00:00		EA 	0	1.00	2010-05-12 00:00:00
V	1194		984	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	3016		985	2010-12-15 00:00:00		EA 	0	1.00	2010-12-01 00:00:00
V	3280		986	2010-12-23 00:00:00		EA 	0	1.00	2010-12-09 00:00:00
V	2782		987	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2422		988	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	3		989	2010-03-04 00:00:00		EA 	0	1.00	2010-02-18 00:00:00
V	2735		990	2010-09-15 00:00:00		EA 	0	1.00	2010-09-01 00:00:00
V	2360		991	2010-08-05 00:00:00		EA 	0	1.00	2010-07-22 00:00:00
V	1262		992	2010-06-09 00:00:00		EA 	0	1.00	2010-05-26 00:00:00
V	481		993	2010-03-18 00:00:00		EA 	0	1.00	2010-03-04 00:00:00
V	809		997	2010-05-26 00:00:00		EA 	0	1.00	2010-05-12 00:00:00
V	2050		998	2010-07-08 00:00:00		EA 	0	1.00	2010-06-24 00:00:00
V	1938		999	2010-06-19 00:00:00	2010-08-18 00:00:00	EA 	0	1.00	2010-08-18 00:00:00
V	1731		999	2010-08-19 00:00:00		EA 	0	1.00	2010-08-05 00:00:00
V	2000	3	2	2010-07-08 00:00:00		EA 	3	10.00	2010-06-24 00:00:00
V	1657	3	461	2010-06-19 00:00:00		EA 	3	1.00	2010-06-05 00:00:00
V	389	3	504	2010-03-18 00:00:00		EA 	3	2.00	2010-03-04 00:00:00
V	805	3	505	2010-05-26 00:00:00		EA 	3	2.00	2010-05-12 00:00:00
V	2433	316	486	2010-08-05 00:00:00		EA 	4	1.00	2010-07-22 00:00:00
V	1290	324	486	2010-06-09 00:00:00		EA 	3	1.00	2010-05-26 00:00:00
V	875	327	483	2010-05-26 00:00:00		EA 	3	1.00	2010-05-12 00:00:00
V	3337	328	482	2010-12-23 00:00:00		EA 	3	1.00	2010-12-09 00:00:00
V	2806	329	482	2010-09-15 00:00:00		EA 	3	1.00	2010-09-01 00:00:00
V	2432	330	482	2010-08-05 00:00:00		EA 	3	1.00	2010-07-22 00:00:00
V	1289	331	482	2010-06-09 00:00:00		EA 	4	1.00	2010-05-26 00:00:00
V	492	350	486	2010-03-18 00:00:00		EA 	4	1.00	2010-03-04 00:00:00
V	876	398	487	2010-05-26 00:00:00		EA 	3	1.00	2010-05-12 00:00:00
V	3338	399	485	2010-12-23 00:00:00		EA 	3	1.00	2010-12-09 00:00:00
V	543	400	523	2010-03-18 00:00:00		EA 	3	1.00	2010-03-04 00:00:00
V	2162	400	525	2010-07-08 00:00:00		EA 	3	1.00	2010-06-24 00:00:00
V	935	401	524	2010-05-26 00:00:00		EA 	3	1.00	2010-05-12 00:00:00
V	2487	401	526	2010-08-05 00:00:00		EA 	3	1.00	2010-07-22 00:00:00
V	2327	514	497	2010-08-05 00:00:00		EA 	2	4.00	2010-07-22 00:00:00
V	3138	514	528	2010-12-15 00:00:00		EA 	2	1.00	2010-12-01 00:00:00
V	1830	514	530	2010-06-19 00:00:00		EA 	2	1.00	2010-06-05 00:00:00
V	3135	514	908	2010-12-15 00:00:00		EA 	2	1.00	2010-12-01 00:00:00
V	1219	515	497	2010-06-09 00:00:00		EA 	2	4.00	2010-05-26 00:00:00
V	3400	515	528	2010-12-23 00:00:00		EA 	2	1.00	2010-12-09 00:00:00
V	3140	515	530	2010-12-15 00:00:00		EA 	2	1.00	2010-12-01 00:00:00
V	2858	515	909	2010-09-15 00:00:00		EA 	2	1.00	2010-09-01 00:00:00
V	386	516	497	2010-03-18 00:00:00		EA 	2	4.00	2010-03-04 00:00:00
V	2862	516	528	2010-09-15 00:00:00		EA 	2	1.00	2010-09-01 00:00:00
V	3402	516	530	2010-12-23 00:00:00		EA 	2	1.00	2010-12-09 00:00:00
V	1357	516	910	2010-06-09 00:00:00		EA 	2	1.00	2010-05-26 00:00:00
V	28	517	497	2010-03-04 00:00:00		EA 	2	4.00	2010-02-18 00:00:00
V	2489	517	528	2010-08-05 00:00:00		EA 	2	1.00	2010-07-22 00:00:00
V	2864	517	530	2010-09-15 00:00:00		EA 	2	1.00	2010-09-01 00:00:00
V	348	517	911	2010-03-04 00:00:00	2010-05-03 00:00:00	EA 	1	2.00	2010-05-03 00:00:00
V	140	517	911	2010-05-04 00:00:00		EA 	2	1.00	2010-04-20 00:00:00
V	1032	518	497	2010-05-26 00:00:00	2010-07-25 00:00:00	EA 	1	5.00	2010-07-25 00:00:00
V	803	518	497	2010-07-26 00:00:00		EA 	2	4.00	2010-07-12 00:00:00
V	1360	518	528	2010-06-09 00:00:00		EA 	2	1.00	2010-05-26 00:00:00
V	2491	518	530	2010-08-05 00:00:00		EA 	2	1.00	2010-07-22 00:00:00
V	2161	518	912	2010-07-08 00:00:00		EA 	2	1.00	2010-06-24 00:00:00
V	2022	519	497	2010-07-08 00:00:00		EA 	2	4.00	2010-06-24 00:00:00
V	546	519	528	2010-03-18 00:00:00		EA 	2	1.00	2010-03-04 00:00:00
V	1362	519	530	2010-06-09 00:00:00		EA 	2	1.00	2010-05-26 00:00:00
V	3136	519	913	2010-12-15 00:00:00		EA 	2	1.00	2010-12-01 00:00:00
V	1660	520	497	2010-06-19 00:00:00		EA 	2	4.00	2010-06-05 00:00:00
V	144	520	528	2010-03-04 00:00:00		EA 	2	1.00	2010-02-18 00:00:00
V	548	520	530	2010-03-18 00:00:00		EA 	2	1.00	2010-03-04 00:00:00
V	2859	520	914	2010-09-15 00:00:00		EA 	2	1.00	2010-09-01 00:00:00
V	3012	521	497	2010-12-15 00:00:00		EA 	2	4.00	2010-12-01 00:00:00
V	938	521	528	2010-05-26 00:00:00		EA 	2	1.00	2010-05-12 00:00:00
V	146	521	530	2010-03-04 00:00:00		EA 	2	1.00	2010-02-18 00:00:00
V	1358	521	915	2010-06-09 00:00:00		EA 	2	1.00	2010-05-26 00:00:00
V	3239	522	497	2010-12-23 00:00:00		EA 	2	4.00	2010-12-09 00:00:00
V	2165	522	528	2010-07-08 00:00:00		EA 	2	1.00	2010-06-24 00:00:00
V	1124	522	530	2010-05-26 00:00:00	2010-07-25 00:00:00	EA 	1	2.00	2010-07-25 00:00:00
V	940	522	530	2010-07-26 00:00:00		EA 	2	1.00	2010-07-12 00:00:00
V	141	522	916	2010-03-04 00:00:00		EA 	2	1.00	2010-02-18 00:00:00
V	1288	529	477	2010-06-09 00:00:00		EA 	3	1.00	2010-05-26 00:00:00
V	2094	531	487	2010-07-08 00:00:00		EA 	4	1.00	2010-06-24 00:00:00
V	1956	532	484	2010-06-19 00:00:00	2010-08-18 00:00:00	EA 	2	2.00	2010-08-18 00:00:00
V	1769	532	484	2010-08-19 00:00:00		EA 	3	1.00	2010-08-05 00:00:00
V	100	533	478	2010-03-04 00:00:00		EA 	3	1.00	2010-02-18 00:00:00
V	491	534	482	2010-03-18 00:00:00		EA 	3	1.00	2010-03-04 00:00:00
V	1445	680	324	2010-06-09 00:00:00		EA 	2	2.00	2010-05-26 00:00:00
V	1881	680	325	2010-06-19 00:00:00		EA 	2	2.00	2010-06-05 00:00:00
V	3453	680	326	2010-12-23 00:00:00		EA 	2	1.00	2010-12-09 00:00:00
V	2541	680	327	2010-08-05 00:00:00		EA 	2	1.00	2010-07-22 00:00:00
V	3190	680	399	2010-12-15 00:00:00		EA 	2	1.00	2010-12-01 00:00:00
V	1617	680	492	2010-06-09 00:00:00	2010-08-08 00:00:00	OZ 	1	9.00	2010-08-08 00:00:00
V	1446	680	492	2010-08-09 00:00:00		OZ 	2	8.00	2010-07-26 00:00:00
V	626	680	532	2010-03-18 00:00:00		EA 	2	4.00	2010-03-04 00:00:00
V	987	680	533	2010-05-26 00:00:00		EA 	2	1.00	2010-05-12 00:00:00
V	220	680	534	2010-03-04 00:00:00		EA 	2	1.00	2010-02-18 00:00:00
V	219	680	804	2010-03-04 00:00:00		EA 	2	1.00	2010-02-18 00:00:00
V	776	706	324	2010-03-18 00:00:00		EA 	2	2.00	2010-03-04 00:00:00
