OpFlag	ContactTypeID	Name	ModifiedDate
V	1	Accounting Manager	2008-04-30 00:00:00
V	2	Assistant Sales Agent	2008-04-30 00:00:00
V	3	Assistant Sales Representative	2008-04-30 00:00:00
V	4	Coordinator Foreign Markets	2008-04-30 00:00:00
V	5	Export Administrator	2008-04-30 00:00:00
V	6	International Marketing Manager	2008-04-30 00:00:00
V	7	Marketing Assistant	2008-04-30 00:00:00
V	8	Marketing Manager	2008-04-30 00:00:00
V	9	Marketing Representative	2008-04-30 00:00:00
V	10	Order Administrator	2008-04-30 00:00:00
V	11	Owner	2008-04-30 00:00:00
V	12	Owner/Marketing Assistant	2008-04-30 00:00:00
V	13	Product Manager	2008-04-30 00:00:00
V	14	Purchasing Agent	2008-04-30 00:00:00
V	15	Purchasing Manager	2008-04-30 00:00:00
V	16	Regional Account Representative	2008-04-30 00:00:00
V	17	Sales Agent	2008-04-30 00:00:00
V	18	Sales Associate	2008-04-30 00:00:00
V	19	Sales Manager	2008-04-30 00:00:00
V	20	Sales Representative	2008-04-30 00:00:00
