OpFlag	CountryRegionCode	CurrencyCode	ModifiedDate
V	AE	AED	2014-02-08 10:17:21.510000000
V	AR	ARS	2014-02-08 10:17:21.510000000
V	AT	ATS	2014-02-08 10:17:21.510000000
V	AT	EUR	2008-04-30 00:00:00
V	AU	AUD	2014-02-08 10:17:21.510000000
V	BB	BBD	2014-02-08 10:17:21.510000000
V	BD	BDT	2014-02-08 10:17:21.510000000
V	BE	BEF	2014-02-08 10:17:21.510000000
V	BE	EUR	2008-04-30 00:00:00
V	BG	BGN	2014-02-08 10:17:21.510000000
V	BH	BHD	2014-02-08 10:17:21.510000000
V	BN	BND	2014-02-08 10:17:21.510000000
V	BO	BOB	2014-02-08 10:17:21.510000000
V	BR	BRL	2014-02-08 10:17:21.510000000
V	BS	BSD	2014-02-08 10:17:21.510000000
V	BT	BTN	2014-02-08 10:17:21.510000000
V	CA	CAD	2014-02-08 10:17:21.510000000
V	CH	CHF	2014-02-08 10:17:21.510000000
V	CL	CLP	2014-02-08 10:17:21.510000000
V	CN	CNY	2014-02-08 10:17:21.510000000
V	CO	COP	2014-02-08 10:17:21.510000000
V	CR	CRC	2014-02-08 10:17:21.510000000
V	CY	CYP	2014-02-08 10:17:21.510000000
V	CZ	CZK	2014-02-08 10:17:21.510000000
V	DE	DEM	2014-02-08 10:17:21.510000000
V	DE	EUR	2014-02-08 10:17:21.510000000
V	DK	DKK	2014-02-08 10:17:21.510000000
V	DO	DOP	2014-02-08 10:17:21.510000000
V	DZ	DZD	2014-02-08 10:17:21.510000000
V	EC	USD	2014-02-08 10:17:21.510000000
V	EE	EEK	2014-02-08 10:17:21.510000000
V	EG	EGP	2014-02-08 10:17:21.510000000
V	ES	ESP	2014-02-08 10:17:21.510000000
V	ES	EUR	2008-04-30 00:00:00
V	FI	EUR	2008-04-30 00:00:00
V	FI	FIM	2014-02-08 10:17:21.510000000
V	FJ	FJD	2014-02-08 10:17:21.510000000
V	FR	EUR	2014-02-08 10:17:21.510000000
V	FR	FRF	2014-02-08 10:17:21.510000000
V	GB	GBP	2014-02-08 10:17:21.510000000
V	GH	GHC	2014-02-08 10:17:21.510000000
V	GR	EUR	2008-04-30 00:00:00
V	GR	GRD	2014-02-08 10:17:21.510000000
V	GT	GTQ	2014-02-08 10:17:21.510000000
V	HK	HKD	2014-02-08 10:17:21.510000000
V	HR	HRK	2014-02-08 10:17:21.510000000
V	HU	HUF	2014-02-08 10:17:21.510000000
V	ID	IDR	2014-02-08 10:17:21.510000000
V	IE	EUR	2008-04-30 00:00:00
V	IE	IEP	2014-02-08 10:17:21.510000000
V	IL	ILS	2014-02-08 10:17:21.510000000
