\P\	Pos	CurrencyCode\
T	5	$
N	0	1
K	0	1
#
V	57	AED
V	98	AFA
V	132	ALL
V	162	AMD
V	202	ANG
V	258	AOA
V	291	ARS
V	332	ATS
V	367	AUD
V	411	AWG
V	452	AZM
V	498	BBD
V	540	BDT
V	571	BEF
V	611	BGN
V	651	BHD
V	692	BND
V	732	BOB
V	768	BRL
V	809	BSD
V	851	BTN
V	886	CAD
V	928	CHF
V	966	CLP
V	1005	CNY
V	1045	COP
V	1086	CRC
V	1130	CYP
V	1169	CZK
V	1208	DEM
V	1248	DKK
V	1287	DOP
V	1328	DZD
V	1369	EEK
V	1401	EGP
V	1442	ESP
V	1483	EUR
V	1514	FIM
V	1547	FJD
V	1585	FRF
V	1624	GBP
V	1671	GHC
V	1702	GRD
V	1736	GTQ
V	1770	HKD
V	1813	HRK
V	1853	HUF
V	1886	IDR
V	1919	IEP
V	1957	ILS
V	2002	INR
V	2041	ISK
V	2081	ITL
V	2120	JMD
V	2162	JOD
V	2204	JPY
V	2234	KES
V	2276	KRW
V	2306	KWD
V	2346	LBP
V	2387	LKR
V	2430	LTL
V	2473	LVL
V	2512	MAD
V	2554	MTL
V	2593	MUR
V	2635	MVR
V	2669	MXN
V	2708	MYR
V	2752	NAD
V	2793	NGN
V	2825	NLG
V	2871	NOK
V	2913	NPR
V	2954	NZD
V	2999	OMR
V	3036	PAB
V	3069	PEN
V	3105	PHP
V	3147	PKR
V	3188	PLN
V	3220	PLZ
V	3264	PTE
V	3308	PYG
V	3342	ROL
V	3372	RUB
V	3412	RUR
V	3457	SAR
V	3495	SEK
V	3535	SGD
V	3578	SIT
V	3610	SKK
V	3650	SVC
V	3694	THB
V	3725	TND
V	3766	TRL
V	3805	TTD
V	3858	TWD
V	3902	USD
V	3938	UYU
V	3979	VEB
V	4013	VND
V	4044	XOF
V	4086	ZAR
V	4117	ZWD
