OpFlag	CurrencyCode	Name	ModifiedDate
V	AED	Emirati Dirham	2008-04-30 00:00:00
V	AFA	Afghani	2008-04-30 00:00:00
V	ALL	Lek	2008-04-30 00:00:00
V	AMD	Armenian Dram	2008-04-30 00:00:00
V	ANG	Netherlands Antillian Guilder	2008-04-30 00:00:00
V	AOA	Kwanza	2008-04-30 00:00:00
V	ARS	Argentine Peso	2008-04-30 00:00:00
V	ATS	Shilling	2008-04-30 00:00:00
V	AUD	Australian Dollar	2008-04-30 00:00:00
V	AWG	Aruban Guilder	2008-04-30 00:00:00
V	AZM	Azerbaijanian Manat	2008-04-30 00:00:00
V	BBD	Barbados Dollar	2008-04-30 00:00:00
V	BDT	Taka	2008-04-30 00:00:00
V	BEF	Belgian Franc	2008-04-30 00:00:00
V	BGN	Bulgarian Lev	2008-04-30 00:00:00
V	BHD	Bahraini Dinar	2008-04-30 00:00:00
V	BND	Brunei Dollar	2008-04-30 00:00:00
V	BOB	Boliviano	2008-04-30 00:00:00
V	BRL	Brazilian Real	2008-04-30 00:00:00
V	BSD	Bahamian Dollar	2008-04-30 00:00:00
V	BTN	Ngultrum	2008-04-30 00:00:00
V	CAD	Canadian Dollar	2008-04-30 00:00:00
V	CHF	Swiss Franc	2008-04-30 00:00:00
V	CLP	Chilean Peso	2008-04-30 00:00:00
V	CNY	Yuan Renminbi	2008-04-30 00:00:00
V	COP	Colombian Peso	2008-04-30 00:00:00
V	CRC	Costa Rican Colon	2008-04-30 00:00:00
V	CYP	Cyprus Pound	2008-04-30 00:00:00
V	CZK	Czech Koruna	2008-04-30 00:00:00
V	DEM	Deutsche Mark	2008-04-30 00:00:00
V	DKK	Danish Krone	2008-04-30 00:00:00
V	DOP	Dominican Peso	2008-04-30 00:00:00
V	DZD	Algerian Dinar	2008-04-30 00:00:00
V	EEK	Kroon	2008-04-30 00:00:00
V	EGP	Egyptian Pound	2008-04-30 00:00:00
V	ESP	Spanish Peseta	2008-04-30 00:00:00
V	EUR	EURO	2008-04-30 00:00:00
V	FIM	Markka	2008-04-30 00:00:00
V	FJD	Fiji Dollar	2008-04-30 00:00:00
V	FRF	French Franc	2008-04-30 00:00:00
V	GBP	United Kingdom Pound	2008-04-30 00:00:00
V	GHC	Cedi	2008-04-30 00:00:00
V	GRD	Drachma	2008-04-30 00:00:00
V	GTQ	Quetzal	2008-04-30 00:00:00
V	HKD	Hong Kong Dollar	2008-04-30 00:00:00
V	HRK	Croatian Kuna	2008-04-30 00:00:00
V	HUF	Forint	2008-04-30 00:00:00
V	IDR	Rupiah	2008-04-30 00:00:00
V	IEP	Irish Pound	2008-04-30 00:00:00
V	ILS	New Israeli Shekel	2008-04-30 00:00:00
V	INR	Indian Rupee	2008-04-30 00:00:00
V	ISK	Iceland Krona	2008-04-30 00:00:00
V	ITL	Italian Lira	2008-04-30 00:00:00
V	JMD	Jamaican Dollar	2008-04-30 00:00:00
V	JOD	Jordanian Dinar	2008-04-30 00:00:00
V	JPY	Yen	2008-04-30 00:00:00
V	KES	Kenyan Shilling	2008-04-30 00:00:00
V	KRW	Won	2008-04-30 00:00:00
V	KWD	Kuwaiti Dinar	2008-04-30 00:00:00
V	LBP	Lebanese Pound	2008-04-30 00:00:00
V	LKR	Sri Lankan Rupee	2008-04-30 00:00:00
V	LTL	Lithuanian Litas	2008-04-30 00:00:00
V	LVL	Latvian Lats	2008-04-30 00:00:00
V	MAD	Moroccan Dirham	2008-04-30 00:00:00
V	MTL	Maltese Lira	2008-04-30 00:00:00
V	MUR	Mauritius Rupee	2008-04-30 00:00:00
V	MVR	Rufiyaa	2008-04-30 00:00:00
V	MXN	Mexican Peso	2008-04-30 00:00:00
V	MYR	Malaysian Ringgit	2008-04-30 00:00:00
V	NAD	Namibia Dollar	2008-04-30 00:00:00
V	NGN	Naira	2008-04-30 00:00:00
V	NLG	Netherlands Guilder	2008-04-30 00:00:00
V	NOK	Norwegian Krone	2008-04-30 00:00:00
V	NPR	Nepalese Rupee	2008-04-30 00:00:00
V	NZD	New Zealand Dollar	2008-04-30 00:00:00
V	OMR	Omani Rial	2008-04-30 00:00:00
V	PAB	Balboa	2008-04-30 00:00:00
V	PEN	Nuevo Sol	2008-04-30 00:00:00
V	PHP	Philippine Peso	2008-04-30 00:00:00
V	PKR	Pakistan Rupee	2008-04-30 00:00:00
V	PLN	Zloty	2008-04-30 00:00:00
V	PLZ	Polish Zloty(old)	2008-04-30 00:00:00
V	PTE	Portuguese Escudo	2008-04-30 00:00:00
V	PYG	Guarani	2008-04-30 00:00:00
V	ROL	Leu	2008-04-30 00:00:00
V	RUB	Russian Ruble	2008-04-30 00:00:00
V	RUR	Russian Ruble(old)	2008-04-30 00:00:00
V	SAR	Saudi Riyal	2008-04-30 00:00:00
V	SEK	Swedish Krona	2008-04-30 00:00:00
V	SGD	Singapore Dollar	2008-04-30 00:00:00
V	SIT	Tolar	2008-04-30 00:00:00
V	SKK	Slovak Koruna	2008-04-30 00:00:00
