\P\	Pos	FromCurrencyCode\
T	5	$
N	0	1
#
V	218	USD
V	279	USD
V	343	USD
V	409	USD
V	475	USD
V	541	USD
V	607	USD
V	673	USD
V	739	USD
V	805	USD
V	873	USD
V	938	USD
V	1005	USD
V	1073	USD
V	1135	USD
V	1202	USD
V	1268	USD
V	1335	USD
V	1402	USD
V	1469	USD
V	1535	USD
V	1602	USD
V	1669	USD
V	1736	USD
V	1803	USD
V	1870	USD
V	1937	USD
V	1999	USD
V	2066	USD
V	2132	USD
V	2199	USD
V	2266	USD
V	2333	USD
V	2399	USD
V	2466	USD
V	2533	USD
V	2601	USD
V	2666	USD
V	2732	USD
V	2801	USD
V	2858	USD
V	2925	USD
V	2991	USD
V	3058	USD
V	3125	USD
V	3192	USD
V	3259	USD
V	3324	USD
V	3391	USD
V	3459	USD
V	3525	USD
V	3592	USD
V	3661	USD
V	3723	USD
V	3789	USD
V	3855	USD
V	3921	USD
V	3988	USD
V	4055	USD
V	4122	USD
V	4189	USD
V	4256	USD
V	4324	USD
V	4390	USD
V	4457	USD
V	4524	USD
V	4586	USD
V	4653	USD
V	4718	USD
V	4785	USD
V	4851	USD
V	4918	USD
V	4985	USD
V	5052	USD
V	5119	USD
V	5187	USD
V	5252	USD
V	5317	USD
V	5384	USD
V	5446	USD
V	5513	USD
V	5579	USD
V	5646	USD
V	5713	USD
V	5779	USD
V	5846	USD
V	5913	USD
V	5980	USD
V	6049	USD
V	6115	USD
V	6182	USD
V	6251	USD
V	6313	USD
V	6380	USD
V	6445	USD
V	6512	USD
V	6579	USD
V	6646	USD
V	6712	USD
V	6779	USD
V	6847	USD
V	6917	USD
V	6983	USD
V	7050	USD
V	7120	USD
V	7183	USD
V	7251	USD
V	7318	USD
V	7386	USD
V	7454	USD
V	7522	USD
V	7590	USD
V	7658	USD
V	7726	USD
V	7794	USD
V	7862	USD
V	7930	USD
V	7998	USD
V	8061	USD
V	8127	USD
V	8194	USD
V	8262	USD
V	8330	USD
V	8398	USD
V	8465	USD
V	8533	USD
V	8601	USD
V	8670	USD
V	8737	USD
V	8805	USD
V	8875	USD
V	8938	USD
V	9006	USD
V	9073	USD
V	9141	USD
V	9208	USD
V	9276	USD
V	9344	USD
V	9412	USD
V	9479	USD
V	9548	USD
V	9614	USD
V	9682	USD
V	9749	USD
V	9812	USD
V	9880	USD
V	9948	USD
V	10016	USD
V	10083	USD
V	10151	USD
V	10219	USD
V	10287	USD
V	10353	USD
V	10422	USD
V	10489	USD
V	10557	USD
V	10625	USD
V	10688	USD
V	10756	USD
V	10823	USD
V	10891	USD
V	10958	USD
V	11026	USD
V	11094	USD
V	11162	USD
V	11230	USD
V	11299	USD
V	11367	USD
V	11435	USD
V	11502	USD
V	11565	USD
V	11633	USD
V	11701	USD
V	11769	USD
V	11836	USD
V	11904	USD
V	11972	USD
V	12040	USD
V	12108	USD
V	12178	USD
V	12245	USD
V	12313	USD
V	12382	USD
V	12445	USD
V	12513	USD
V	12580	USD
V	12648	USD
V	12715	USD
V	12783	USD
V	12850	USD
V	12918	USD
V	12986	USD
V	13055	USD
V	13122	USD
V	13190	USD
V	13259	USD
V	13321	USD
V	13389	USD
V	13457	USD
V	13525	USD
V	13592	USD
V	13660	USD
V	13728	USD
V	13796	USD
V	13864	USD
V	13933	USD
V	14000	USD
V	14068	USD
V	14134	USD
V	14197	USD
V	14265	USD
V	14332	USD
V	14400	USD
V	14467	USD
V	14535	USD
V	14603	USD
V	14671	USD
V	14739	USD
V	14808	USD
V	14876	USD
V	14944	USD
V	15013	USD
V	15076	USD
V	15144	USD
V	15212	USD
V	15278	USD
V	15344	USD
V	15412	USD
V	15479	USD
V	15546	USD
V	15614	USD
V	15683	USD
V	15750	USD
V	15818	USD
V	15885	USD
V	15948	USD
V	16016	USD
V	16083	USD
V	16151	USD
V	16218	USD
V	16286	USD
V	16353	USD
V	16421	USD
V	16489	USD
V	16558	USD
V	16625	USD
V	16693	USD
V	16762	USD
V	16825	USD
V	16893	USD
V	16961	USD
V	17029	USD
V	17096	USD
V	17164	USD
V	17231	USD
V	17299	USD
V	17367	USD
V	17436	USD
V	17503	USD
V	17571	USD
V	17640	USD
V	17703	USD
V	17771	USD
V	17839	USD
V	17907	USD
V	17973	USD
V	18040	USD
V	18108	USD
V	18176	USD
V	18244	USD
V	18314	USD
