\P\	CurrencyRateID	CurrencyRateDate	FromCurrencyCode	ToCurrencyCode	AverageRate	EndOfDayRate	ModifiedDate\
T	5	D	$	$	7	7	D
N	0	0	1	1	0	0	0
#
V	1	2011-05-31 00:00:00	USD	ARS	1	1.0002	2011-05-31 00:00:00
V	2	2011-05-31 00:00:00	USD	AUD	1.5491	1.55	2011-05-31 00:00:00
V	3	2011-05-31 00:00:00	USD	BRL	1.9379	1.9419	2011-05-31 00:00:00
V	4	2011-05-31 00:00:00	USD	CAD	1.4641	1.4683	2011-05-31 00:00:00
V	5	2011-05-31 00:00:00	USD	CNY	8.2781	8.2784	2011-05-31 00:00:00
V	6	2011-05-31 00:00:00	USD	DEM	1.8967	1.8976	2011-05-31 00:00:00
V	7	2011-05-31 00:00:00	USD	EUR	0.9697	0.9703	2011-05-31 00:00:00
V	8	2011-05-31 00:00:00	USD	FRF	6.3611	6.3613	2011-05-31 00:00:00
V	9	2011-05-31 00:00:00	USD	GBP	0.6183	0.6183	2011-05-31 00:00:00
V	10	2011-05-31 00:00:00	USD	JPY	104.91	104.958	2011-05-31 00:00:00
V	11	2011-05-31 00:00:00	USD	MXN	9.374	9.384	2011-05-31 00:00:00
V	12	2011-05-31 00:00:00	USD	SAR	3.7507	3.7584	2011-05-31 00:00:00
V	13	2011-05-31 00:00:00	USD	VEB	634.5099	634.6	2011-05-31 00:00:00
V	14	2011-06-01 00:00:00	USD	ARS	1	0.9991	2011-06-01 00:00:00
V	15	2011-06-01 00:00:00	USD	AUD	1.5559	1.5558	2011-06-01 00:00:00
V	16	2011-06-01 00:00:00	USD	BRL	1.9339	1.933	2011-06-01 00:00:00
V	17	2011-06-01 00:00:00	USD	CAD	1.4661	1.4637	2011-06-01 00:00:00
V	18	2011-06-01 00:00:00	USD	CNY	8.2781	8.2774	2011-06-01 00:00:00
V	19	2011-06-01 00:00:00	USD	DEM	1.8924	1.8922	2011-06-01 00:00:00
V	20	2011-06-01 00:00:00	USD	EUR	0.9676	0.967	2011-06-01 00:00:00
V	21	2011-06-01 00:00:00	USD	FRF	6.3468	6.3465	2011-06-01 00:00:00
V	22	2011-06-01 00:00:00	USD	GBP	0.6166	0.6162	2011-06-01 00:00:00
V	23	2011-06-01 00:00:00	USD	JPY	105.7	105.674	2011-06-01 00:00:00
V	24	2011-06-01 00:00:00	USD	MXN	9.3949	9.3919	2011-06-01 00:00:00
V	25	2011-06-01 00:00:00	USD	SAR	3.7507	3.7507	2011-06-01 00:00:00
V	26	2011-06-01 00:00:00	USD	VEB	634.25	634.24	2011-06-01 00:00:00
V	27	2011-06-02 00:00:00	USD	ARS	1	1.0004	2011-06-02 00:00:00
V	28	2011-06-02 00:00:00	USD	AUD	1.5592	1.5597	2011-06-02 00:00:00
V	29	2011-06-02 00:00:00	USD	BRL	1.9359	1.944	2011-06-02 00:00:00
V	30	2011-06-02 00:00:00	USD	CAD	1.4672	1.4734	2011-06-02 00:00:00
V	31	2011-06-02 00:00:00	USD	CNY	8.2781	8.2789	2011-06-02 00:00:00
V	32	2011-06-02 00:00:00	USD	DEM	1.8796	1.8802	2011-06-02 00:00:00
V	33	2011-06-02 00:00:00	USD	EUR	0.961	0.9615	2011-06-02 00:00:00
V	34	2011-06-02 00:00:00	USD	FRF	6.3041	6.3041	2011-06-02 00:00:00
V	35	2011-06-02 00:00:00	USD	GBP	0.6156	0.6163	2011-06-02 00:00:00
V	36	2011-06-02 00:00:00	USD	JPY	105.53	105.604	2011-06-02 00:00:00
V	37	2011-06-02 00:00:00	USD	MXN	9.355	9.355	2011-06-02 00:00:00
V	38	2011-06-02 00:00:00	USD	SAR	3.7505	3.757	2011-06-02 00:00:00
V	39	2011-06-02 00:00:00	USD	VEB	634.75	634.7999	2011-06-02 00:00:00
V	40	2011-06-03 00:00:00	USD	ARS	1	1	2011-06-03 00:00:00
V	41	2011-06-03 00:00:00	USD	AUD	1.5645	1.5634	2011-06-03 00:00:00
V	42	2011-06-03 00:00:00	USD	BRL	1.9295	1.925	2011-06-03 00:00:00
V	43	2011-06-03 00:00:00	USD	CAD	1.4672	1.4609	2011-06-03 00:00:00
V	44	2011-06-03 00:00:00	USD	CNY	8.2783	8.2782	2011-06-03 00:00:00
V	45	2011-06-03 00:00:00	USD	DEM	1.8811	1.8801	2011-06-03 00:00:00
V	46	2011-06-03 00:00:00	USD	EUR	0.9617	0.9617	2011-06-03 00:00:00
V	47	2011-06-03 00:00:00	USD	FRF	6.309	6.308	2011-06-03 00:00:00
V	48	2011-06-03 00:00:00	USD	GBP	0.6163	0.6159	2011-06-03 00:00:00
V	49	2011-06-03 00:00:00	USD	JPY	105.77	105.682	2011-06-03 00:00:00
V	50	2011-06-03 00:00:00	USD	MXN	9.346	9.3369	2011-06-03 00:00:00
V	51	2011-06-03 00:00:00	USD	SAR	3.7492	3.7416	2011-06-03 00:00:00
V	52	2011-06-03 00:00:00	USD	VEB	635.75	635.6599	2011-06-03 00:00:00
V	53	2011-06-04 00:00:00	USD	ARS	1	1.0004	2011-06-04 00:00:00
V	54	2011-06-04 00:00:00	USD	AUD	1.5667	1.567	2011-06-04 00:00:00
V	55	2011-06-04 00:00:00	USD	BRL	1.9319	1.937	2011-06-04 00:00:00
V	56	2011-06-04 00:00:00	USD	CAD	1.464	1.4673	2011-06-04 00:00:00
V	57	2011-06-04 00:00:00	USD	CNY	8.2784	8.2788	2011-06-04 00:00:00
V	58	2011-06-04 00:00:00	USD	DEM	1.8978	1.8984	2011-06-04 00:00:00
V	59	2011-06-04 00:00:00	USD	EUR	0.9704	0.9711	2011-06-04 00:00:00
V	60	2011-06-04 00:00:00	USD	FRF	6.3654	6.3658	2011-06-04 00:00:00
V	61	2011-06-04 00:00:00	USD	GBP	0.6185	0.6186	2011-06-04 00:00:00
V	62	2011-06-04 00:00:00	USD	JPY	106.11	106.182	2011-06-04 00:00:00
V	63	2011-06-04 00:00:00	USD	MXN	9.335	9.3369	2011-06-04 00:00:00
V	64	2011-06-04 00:00:00	USD	SAR	3.7507	3.7606	2011-06-04 00:00:00
V	65	2011-06-04 00:00:00	USD	VEB	636.25	636.33	2011-06-04 00:00:00
V	66	2011-06-05 00:00:00	USD	ARS	1	0.9995	2011-06-05 00:00:00
V	67	2011-06-05 00:00:00	USD	AUD	1.5642	1.5636	2011-06-05 00:00:00
V	68	2011-06-05 00:00:00	USD	BRL	1.933	1.925	2011-06-05 00:00:00
V	69	2011-06-05 00:00:00	USD	CAD	1.4641	1.4563	2011-06-05 00:00:00
V	70	2011-06-05 00:00:00	USD	CNY	8.2784	8.278	2011-06-05 00:00:00
V	71	2011-06-05 00:00:00	USD	DEM	1.9007	1.8997	2011-06-05 00:00:00
V	72	2011-06-05 00:00:00	USD	EUR	0.9718	0.9715	2011-06-05 00:00:00
V	73	2011-06-05 00:00:00	USD	FRF	6.3746	6.3742	2011-06-05 00:00:00
V	74	2011-06-05 00:00:00	USD	GBP	0.6179	0.6173	2011-06-05 00:00:00
V	75	2011-06-05 00:00:00	USD	JPY	106.42	106.403	2011-06-05 00:00:00
V	76	2011-06-05 00:00:00	USD	MXN	9.335	9.327	2011-06-05 00:00:00
V	77	2011-06-05 00:00:00	USD	SAR	3.7507	3.75	2011-06-05 00:00:00
V	78	2011-06-05 00:00:00	USD	VEB	636.25	636.25	2011-06-05 00:00:00
V	79	2011-06-06 00:00:00	USD	ARS	1	1.0005	2011-06-06 00:00:00
V	80	2011-06-06 00:00:00	USD	AUD	1.5645	1.5652	2011-06-06 00:00:00
V	81	2011-06-06 00:00:00	USD	BRL	1.933	1.9379	2011-06-06 00:00:00
V	82	2011-06-06 00:00:00	USD	CAD	1.4621	1.4661	2011-06-06 00:00:00
V	83	2011-06-06 00:00:00	USD	CNY	8.2784	8.2784	2011-06-06 00:00:00
V	84	2011-06-06 00:00:00	USD	DEM	1.8987	1.899	2011-06-06 00:00:00
V	85	2011-06-06 00:00:00	USD	EUR	0.9708	0.9716	2011-06-06 00:00:00
V	86	2011-06-06 00:00:00	USD	FRF	6.3678	6.3681	2011-06-06 00:00:00
V	87	2011-06-06 00:00:00	USD	GBP	0.6177	0.6179	2011-06-06 00:00:00
V	88	2011-06-06 00:00:00	USD	JPY	106.38	106.4479	2011-06-06 00:00:00
V	89	2011-06-06 00:00:00	USD	MXN	9.335	9.3439	2011-06-06 00:00:00
V	90	2011-06-06 00:00:00	USD	SAR	3.7509	3.7566	2011-06-06 00:00:00
V	91	2011-06-06 00:00:00	USD	VEB	636.25	636.2899	2011-06-06 00:00:00
V	92	2011-06-07 00:00:00	USD	ARS	1	0.9998	2011-06-07 00:00:00
V	93	2011-06-07 00:00:00	USD	AUD	1.5679	1.5678	2011-06-07 00:00:00
V	94	2011-06-07 00:00:00	USD	BRL	1.933	1.923	2011-06-07 00:00:00
V	95	2011-06-07 00:00:00	USD	CAD	1.4623	1.4604	2011-06-07 00:00:00
V	96	2011-06-07 00:00:00	USD	CNY	8.2784	8.2779	2011-06-07 00:00:00
V	97	2011-06-07 00:00:00	USD	DEM	1.8965	1.8957	2011-06-07 00:00:00
V	98	2011-06-07 00:00:00	USD	EUR	0.9697	0.969	2011-06-07 00:00:00
V	99	2011-06-07 00:00:00	USD	FRF	6.3605	6.3605	2011-06-07 00:00:00
V	100	2011-06-07 00:00:00	USD	GBP	0.6171	0.6163	2011-06-07 00:00:00
V	101	2011-06-07 00:00:00	USD	JPY	105.74	105.7159	2011-06-07 00:00:00
V	102	2011-06-07 00:00:00	USD	MXN	9.325	9.323	2011-06-07 00:00:00
V	103	2011-06-07 00:00:00	USD	SAR	3.7507	3.741	2011-06-07 00:00:00
V	104	2011-06-07 00:00:00	USD	VEB	636.3999	636.32	2011-06-07 00:00:00
V	105	2011-06-08 00:00:00	USD	ARS	1	1.0008	2011-06-08 00:00:00
V	106	2011-06-08 00:00:00	USD	AUD	1.5726	1.5734	2011-06-08 00:00:00
V	107	2011-06-08 00:00:00	USD	BRL	1.933	1.9339	2011-06-08 00:00:00
V	108	2011-06-08 00:00:00	USD	CAD	1.4658	1.4752	2011-06-08 00:00:00
V	109	2011-06-08 00:00:00	USD	CNY	8.2783	8.2786	2011-06-08 00:00:00
V	110	2011-06-08 00:00:00	USD	DEM	1.8967	1.8971	2011-06-08 00:00:00
V	111	2011-06-08 00:00:00	USD	EUR	0.9697	0.9706	2011-06-08 00:00:00
V	112	2011-06-08 00:00:00	USD	FRF	6.3611	6.3613	2011-06-08 00:00:00
V	113	2011-06-08 00:00:00	USD	GBP	0.6159	0.6163	2011-06-08 00:00:00
V	114	2011-06-08 00:00:00	USD	JPY	104.47	104.54	2011-06-08 00:00:00
V	115	2011-06-08 00:00:00	USD	MXN	9.3399	9.3399	2011-06-08 00:00:00
V	116	2011-06-08 00:00:00	USD	SAR	3.7507	3.7555	2011-06-08 00:00:00
V	117	2011-06-08 00:00:00	USD	VEB	636.75	636.84	2011-06-08 00:00:00
V	118	2011-06-09 00:00:00	USD	ARS	1	0.9998	2011-06-09 00:00:00
V	119	2011-06-09 00:00:00	USD	AUD	1.581	1.581	2011-06-09 00:00:00
V	120	2011-06-09 00:00:00	USD	BRL	1.929	1.9199	2011-06-09 00:00:00
V	121	2011-06-09 00:00:00	USD	CAD	1.4678	1.4588	2011-06-09 00:00:00
V	122	2011-06-09 00:00:00	USD	CNY	8.2783	8.2779	2011-06-09 00:00:00
V	123	2011-06-09 00:00:00	USD	DEM	1.9117	1.9109	2011-06-09 00:00:00
V	124	2011-06-09 00:00:00	USD	EUR	0.9774	0.977	2011-06-09 00:00:00
V	125	2011-06-09 00:00:00	USD	FRF	6.4115	6.4109	2011-06-09 00:00:00
V	126	2011-06-09 00:00:00	USD	GBP	0.6191	0.6189	2011-06-09 00:00:00
V	127	2011-06-09 00:00:00	USD	JPY	104.56	104.548	2011-06-09 00:00:00
V	128	2011-06-09 00:00:00	USD	MXN	9.307	9.2989	2011-06-09 00:00:00
V	129	2011-06-09 00:00:00	USD	SAR	3.7507	3.7502	2011-06-09 00:00:00
V	130	2011-06-09 00:00:00	USD	VEB	637.25	637.1699	2011-06-09 00:00:00
V	131	2011-06-10 00:00:00	USD	ARS	1	1.0004	2011-06-10 00:00:00
V	132	2011-06-10 00:00:00	USD	AUD	1.5768	1.5772	2011-06-10 00:00:00
V	133	2011-06-10 00:00:00	USD	BRL	1.9299	1.931	2011-06-10 00:00:00
V	134	2011-06-10 00:00:00	USD	CAD	1.4679	1.4738	2011-06-10 00:00:00
V	135	2011-06-10 00:00:00	USD	CNY	8.237	8.2379	2011-06-10 00:00:00
V	136	2011-06-10 00:00:00	USD	DEM	1.9192	1.9194	2011-06-10 00:00:00
V	137	2011-06-10 00:00:00	USD	EUR	0.9812	0.9812	2011-06-10 00:00:00
V	138	2011-06-10 00:00:00	USD	FRF	6.4366	6.4366	2011-06-10 00:00:00
V	139	2011-06-10 00:00:00	USD	GBP	0.6202	0.621	2011-06-10 00:00:00
V	140	2011-06-10 00:00:00	USD	JPY	104.41	104.459	2011-06-10 00:00:00
V	141	2011-06-10 00:00:00	USD	MXN	9.31	9.3109	2011-06-10 00:00:00
V	142	2011-06-10 00:00:00	USD	SAR	3.7507	3.7597	2011-06-10 00:00:00
V	143	2011-06-10 00:00:00	USD	VEB	637.5	637.57	2011-06-10 00:00:00
V	144	2011-06-11 00:00:00	USD	ARS	1	0.9991	2011-06-11 00:00:00
V	145	2011-06-11 00:00:00	USD	AUD	1.5701	1.5694	2011-06-11 00:00:00
V	146	2011-06-11 00:00:00	USD	BRL	1.9265	1.9219	2011-06-11 00:00:00
V	147	2011-06-11 00:00:00	USD	CAD	1.4672	1.4662	2011-06-11 00:00:00
V	148	2011-06-11 00:00:00	USD	CNY	8.237	8.2369	2011-06-11 00:00:00
V	149	2011-06-11 00:00:00	USD	DEM	1.9292	1.9287	2011-06-11 00:00:00
V	150	2011-06-11 00:00:00	USD	EUR	0.9864	0.9859	2011-06-11 00:00:00
V	151	2011-06-11 00:00:00	USD	FRF	6.4702	6.4695	2011-06-11 00:00:00
V	152	2011-06-11 00:00:00	USD	GBP	0.6208	0.62	2011-06-11 00:00:00
V	153	2011-06-11 00:00:00	USD	JPY	103.99	103.909	2011-06-11 00:00:00
V	154	2011-06-11 00:00:00	USD	MXN	9.3599	9.352	2011-06-11 00:00:00
V	155	2011-06-11 00:00:00	USD	SAR	3.7505	3.7492	2011-06-11 00:00:00
V	156	2011-06-11 00:00:00	USD	VEB	637.75	637.75	2011-06-11 00:00:00
V	157	2011-06-12 00:00:00	USD	ARS	1	1.0004	2011-06-12 00:00:00
V	158	2011-06-12 00:00:00	USD	AUD	1.5686	1.5687	2011-06-12 00:00:00
V	159	2011-06-12 00:00:00	USD	BRL	1.9239	1.927	2011-06-12 00:00:00
V	160	2011-06-12 00:00:00	USD	CAD	1.4678	1.4714	2011-06-12 00:00:00
V	161	2011-06-12 00:00:00	USD	CNY	8.237	8.2373	2011-06-12 00:00:00
V	162	2011-06-12 00:00:00	USD	DEM	1.9231	1.9236	2011-06-12 00:00:00
V	163	2011-06-12 00:00:00	USD	EUR	0.9832	0.9834	2011-06-12 00:00:00
