\P\	Pos	CustomerID\
T	5	5
N	0	0
K	0	1
#		
V	219	1
V	310	2
V	402	3
V	493	4
V	584	5
V	676	6
V	767	7
V	858	8
V	950	9
V	1041	10
V	1133	11
V	1226	12
V	1318	13
V	1410	14
V	1503	15
V	1595	16
V	1688	17
V	1781	18
V	1874	19
V	1966	20
V	2059	21
V	2152	22
V	2244	23
V	2337	24
V	2430	25
V	2522	26
V	2615	27
V	2708	28
V	2800	29
V	2893	30
V	2986	31
V	3078	32
V	3171	33
V	3264	34
V	3357	35
V	3450	36
V	3543	37
V	3635	38
V	3728	39
V	3821	40
V	3913	41
V	4006	42
V	4099	43
V	4192	44
V	4285	45
V	4378	46
V	4471	47
V	4563	48
V	4656	49
V	4749	50
V	4841	51
V	4934	52
V	5028	53
V	5120	54
V	5213	55
V	5306	56
V	5398	57
V	5491	58
V	5584	59
V	5676	60
V	5769	61
V	5862	62
V	5954	63
V	6047	64
V	6140	65
V	6232	66
V	6324	67
V	6417	68
V	6509	69
V	6601	70
V	6695	71
V	6787	72
V	6879	73
V	6972	74
V	7064	75
V	7156	76
V	7249	77
V	7341	78
V	7433	79
V	7526	80
V	7618	81
V	7710	82
V	7803	83
V	7895	84
V	7987	85
V	8080	86
V	8172	87
V	8264	88
V	8358	89
V	8450	90
V	8542	91
V	8635	92
V	8727	93
V	8819	94
V	8912	95
V	9004	96
V	9097	97
V	9190	98
V	9282	99
V	9375	100
V	9469	101
V	9562	102
V	9656	103
V	9750	104
V	9843	105
V	9937	106
V	10032	107
V	10125	108
V	10219	109
V	10313	110
V	10407	111
V	10500	112
V	10594	113
V	10688	114
V	10781	115
V	10875	116
V	10969	117
V	11062	118
V	11156	119
V	11250	120
V	11343	121
V	11437	122
V	11531	123
V	11624	124
V	11719	125
V	11813	126
V	11906	127
V	12000	128
V	12094	129
V	12187	130
V	12281	131
V	12375	132
V	12468	133
V	12561	134
V	12655	135
V	12748	136
V	12841	137
V	12934	138
V	13027	139
V	13120	140
V	13213	141
V	13306	142
V	13400	143
V	13493	144
V	13586	145
V	13679	146
V	13772	147
V	13865	148
V	13958	149
V	14051	150
V	14144	151
V	14237	152
V	14330	153
V	14423	154
V	14516	155
V	14609	156
V	14702	157
V	14795	158
V	14888	159
V	14981	160
V	15075	161
V	15168	162
V	15261	163
V	15354	164
V	15447	165
V	15540	166
V	15633	167
V	15726	168
V	15819	169
V	15912	170
V	16005	171
V	16098	172
V	16191	173
V	16284	174
V	16377	175
V	16470	176
V	16563	177
V	16656	178
V	16750	179
V	16843	180
V	16936	181
V	17030	182
V	17123	183
V	17216	184
V	17310	185
V	17404	186
V	17497	187
V	17591	188
V	17685	189
V	17778	190
