\P\	Pos	PersonID\
T	5	5
N	0	0
#
V	219	13531
V	65788	5454
V	65884	11269
V	65981	11358
V	66078	11901
V	66175	6990
V	66271	6229
V	66367	3878
V	66463	14673
V	66560	20229
V	66657	6377
V	66753	18258
V	66850	11663
V	66947	13873
V	67044	2868
V	67140	10963
V	67237	3800
V	67333	2521
V	67429	7394
V	67525	5132
V	67621	17128
V	67718	11489
V	67815	6522
V	67911	4373
V	68007	16843
V	68104	12565
V	68201	2857
V	68297	5526
V	68393	15088
V	68490	15638
V	68587	17272
V	68684	13917
V	68781	16240
V	68878	9475
V	68974	9657
V	69070	13948
V	69167	20539
V	69264	11014
V	69361	18643
V	69458	15676
V	69555	15080
V	69652	9940
V	69748	19075
V	69845	5960
V	69941	5244
V	70037	5225
V	70133	19870
V	70230	12928
V	70327	13513
V	70424	8749
V	70520	17337
V	70617	18655
V	70714	15276
V	70811	7430
V	70907	9790
V	71003	9489
V	71099	8428
V	71195	16962
V	71292	15681
V	71389	8960
V	71485	13542
V	71582	18220
V	71679	6096
V	71775	8821
V	71871	15436
V	71968	3510
V	72064	19662
V	72161	16424
V	72258	2676
V	72354	10008
V	72451	13417
V	72548	13827
V	72645	16284
V	72742	20712
V	72839	7914
V	72935	14267
V	73032	4157
V	73128	17455
V	73225	15039
V	73322	20058
V	73419	14268
V	73516	10369
V	73613	7672
V	73709	20135
V	73806	4281
V	73902	12219
V	73999	17979
V	74096	11871
V	74193	17897
V	74290	3950
V	74386	12846
V	74483	4515
V	74579	6174
V	74675	5827
V	74771	3504
V	74867	20332
V	74964	5114
V	75060	13205
V	75157	5986
V	75253	5231
V	75349	6138
V	75445	17810
V	75542	9866
V	75638	8905
V	75734	8139
V	75830	15430
V	75927	5510
V	76023	4781
V	76119	10536
V	76216	11186
V	76313	18247
V	76410	10647
V	76507	20739
V	76604	14592
V	76701	18519
V	76798	4765
V	76894	14638
V	76991	20526
V	77088	4788
V	77184	14595
V	77281	6073
V	77377	19001
V	77474	19748
V	77571	19185
V	77668	11743
V	77765	17820
V	77862	17105
V	77959	9367
V	78055	12533
V	78152	10538
V	78249	6801
V	78345	3003
V	78441	8490
V	78537	7681
V	78633	18439
V	78730	4624
V	78826	19196
V	78923	11395
V	79020	11623
V	79117	14017
V	79214	13623
V	79311	19930
V	79408	13742
V	79505	6401
V	79601	4268
V	79697	19848
V	79794	3532
V	79890	6463
V	79986	11820
V	80083	6747
V	80179	16842
V	80276	14076
V	80373	17585
V	80470	8391
V	80566	11703
V	80663	17211
V	80760	9548
V	80856	13038
V	80953	17031
V	81050	19259
V	81147	9050
V	81243	12985
V	81340	14792
V	81437	5872
V	81533	14151
V	81630	7251
