\P\	Pos	StoreID\
T	5	5
N	0	0
#		
V	219	934
V	310	1028
V	402	642
V	493	932
V	584	1026
V	676	644
V	767	930
V	858	1024
V	950	620
V	1041	928
V	1133	1022
V	1226	622
V	1318	434
V	1410	1020
V	1503	624
V	1595	432
V	1688	1018
V	1781	1332
V	1874	430
V	1966	1016
V	2059	1334
V	2152	494
V	2244	1014
V	2337	1336
V	2430	492
V	2522	1012
V	2615	1338
V	2708	490
V	2800	1010
V	2893	1340
V	2986	942
V	3078	1008
V	3171	1342
V	3264	940
V	3357	1006
V	3450	1344
V	3543	938
V	3635	1004
V	3728	1346
V	3821	936
V	3913	1002
V	4006	1348
V	4099	1290
V	4192	1000
V	4285	1350
V	4378	1288
V	4471	998
V	4563	1352
V	4656	1286
V	4749	996
V	4841	1354
V	4934	1284
V	5028	994
V	5120	1356
V	5213	1282
V	5306	992
V	5398	1358
V	5491	1280
V	5584	990
V	5676	1360
V	5769	1278
V	5862	988
V	5954	1362
V	6047	1276
V	6140	986
V	6232	782
V	6324	1274
V	6417	532
V	6509	784
V	6601	1272
V	6695	530
V	6787	786
V	6879	1270
V	6972	528
V	7064	788
V	7156	1268
V	7249	556
V	7341	790
V	7433	1266
V	7526	554
V	7618	792
V	7710	1264
V	7803	552
V	7895	794
V	7987	1262
V	8080	636
V	8172	796
V	8264	1260
V	8358	634
V	8450	798
V	8542	1258
V	8635	632
V	8727	800
V	8819	1256
V	8912	630
V	9004	1308
V	9097	1254
V	9190	734
V	9282	1310
V	9375	1252
V	9469	732
V	9562	1312
V	9656	1894
V	9750	730
V	9843	1314
V	9937	1892
V	10032	728
V	10125	1316
V	10219	1890
V	10313	1888
V	10407	726
V	10500	1318
V	10594	1886
V	10688	724
V	10781	1320
V	10875	1884
V	10969	722
V	11062	1322
V	11156	1882
V	11250	720
V	11343	1324
V	11437	1880
V	11531	718
V	11624	1326
V	11719	1878
V	11813	716
V	11906	1328
V	12000	1876
V	12094	714
V	12187	1330
V	12281	1874
V	12375	712
V	12468	978
V	12561	1872
V	12655	710
V	12748	980
V	12841	418
V	12934	708
V	13027	982
V	13120	416
V	13213	706
V	13306	984
V	13400	520
V	13493	704
V	13586	522
V	13679	518
V	13772	702
V	13865	524
V	13958	516
V	14051	700
V	14144	526
V	14237	650
V	14330	514
V	14423	626
V	14516	648
V	14609	512
V	14702	628
V	14795	646
V	14888	456
V	14981	658
V	15075	820
V	15168	454
V	15261	660
V	15354	818
V	15447	506
V	15540	662
V	15633	816
V	15726	504
V	15819	804
V	15912	814
V	16005	502
V	16098	806
V	16191	812
V	16284	500
V	16377	808
V	16470	446
V	16563	688
V	16656	810
V	16750	444
V	16843	686
