\P\	Pos	TerritoryID\
T	5	5
N	0	0
#
V	219	1
V	310	1
V	402	4
V	493	4
V	584	4
V	676	4
V	767	1
V	858	5
V	950	5
V	1041	6
V	1133	6
V	1226	6
V	1318	7
V	1410	8
V	1503	9
V	1595	10
V	1688	5
V	1781	3
V	1874	1
V	1966	1
V	2059	4
V	2152	3
V	2244	4
V	2337	4
V	2430	4
V	2522	5
V	2615	5
V	2708	6
V	2800	6
V	2893	6
V	2986	7
V	3078	8
V	3171	9
V	3264	10
V	3357	2
V	3450	2
V	3543	1
V	3635	1
V	3728	3
V	3821	4
V	3913	4
V	4006	4
V	4099	1
V	4192	5
V	4285	5
V	4378	6
V	4471	6
V	4563	6
V	4656	7
V	4749	8
V	4841	9
V	4934	10
V	5028	2
V	5120	2
V	5213	1
V	5306	1
V	5398	3
V	5491	3
V	5584	4
V	5676	4
V	5769	4
V	5862	5
V	5954	5
V	6047	6
V	6140	6
V	6232	6
V	6324	7
V	6417	8
V	6509	9
V	6601	10
V	6695	2
V	6787	2
V	6879	1
V	6972	1
V	7064	4
V	7156	3
V	7249	4
V	7341	4
V	7433	3
V	7526	5
V	7618	5
V	7710	6
V	7803	6
V	7895	6
V	7987	7
V	8080	8
V	8172	9
V	8264	10
V	8358	2
V	8450	5
V	8542	1
V	8635	1
V	8727	4
V	8819	4
V	8912	4
V	9004	4
V	9097	4
V	9190	5
V	9282	5
V	9375	6
V	9469	6
V	9562	6
V	9656	7
V	9750	8
V	9843	9
V	9937	10
V	10032	2
V	10125	2
V	10219	1
V	10313	1
V	10407	3
V	10500	4
V	10594	4
V	10688	4
V	10781	1
V	10875	5
V	10969	5
V	11062	6
V	11156	6
V	11250	6
V	11343	7
V	11437	8
V	11531	9
V	11624	10
V	11719	2
V	11813	2
V	11906	1
V	12000	1
V	12094	3
V	12187	4
V	12281	4
V	12375	3
V	12468	4
V	12561	5
V	12655	5
V	12748	6
V	12841	6
V	12934	6
V	13027	7
V	13120	8
V	13213	9
V	13306	10
V	13400	2
V	13493	2
V	13586	1
V	13679	1
V	13772	3
V	13865	3
V	13958	3
V	14051	4
V	14144	4
V	14237	5
V	14330	5
V	14423	6
V	14516	6
V	14609	6
V	14702	7
V	14795	8
V	14888	9
V	14981	10
V	15075	2
V	15168	2
V	15261	1
V	15354	1
V	15447	4
V	15540	4
V	15633	4
V	15726	4
V	15819	1
V	15912	5
V	16005	5
V	16098	6
V	16191	6
V	16284	6
V	16377	7
V	16470	8
V	16563	9
V	16656	10
V	16750	2
V	16843	3
V	16936	1
V	17030	1
V	17123	3
V	17216	4
V	17310	4
V	17404	4
V	17497	4
V	17591	5
V	17685	5
V	17778	6
