\P\	DepartmentID	Name	GroupName	ModifiedDate\
T	5	$	$	D
N	0	1	1	0
#				
V	1	Engineering	Research and Development	2008-04-30 00:00:00
V	2	Tool Design	Research and Development	2008-04-30 00:00:00
V	3	Sales	Sales and Marketing	2008-04-30 00:00:00
V	4	Marketing	Sales and Marketing	2008-04-30 00:00:00
V	5	Purchasing	Inventory Management	2008-04-30 00:00:00
V	6	Research and Development	Research and Development	2008-04-30 00:00:00
V	7	Production	Manufacturing	2008-04-30 00:00:00
V	8	Production Control	Manufacturing	2008-04-30 00:00:00
V	9	Human Resources	Executive General and Administration	2008-04-30 00:00:00
V	10	Finance	Executive General and Administration	2008-04-30 00:00:00
V	11	Information Services	Executive General and Administration	2008-04-30 00:00:00
V	12	Document Control	Quality Assurance	2008-04-30 00:00:00
V	13	Quality Assurance	Quality Assurance	2008-04-30 00:00:00
V	14	Facilities and Maintenance	Executive General and Administration	2008-04-30 00:00:00
V	15	Shipping and Receiving	Inventory Management	2008-04-30 00:00:00
V	16	Executive	Executive General and Administration	2008-04-30 00:00:00
