OpFlag	BusinessEntityID	DepartmentID	ShiftID	StartDate	EndDate	ModifiedDate
V	1	16	1	2009-01-14		2009-01-13 00:00:00
V	2	1	1	2008-01-31		2008-01-30 00:00:00
V	3	1	1	2007-11-11		2007-11-10 00:00:00
V	4	1	1	2007-12-05	2010-05-30	2010-05-28 00:00:00
V	4	2	1	2010-05-31		2010-05-30 00:00:00
V	5	1	1	2008-01-06		2008-01-05 00:00:00
V	6	1	1	2008-01-24		2008-01-23 00:00:00
V	7	6	1	2009-02-08		2009-02-07 00:00:00
V	8	6	1	2008-12-29		2008-12-28 00:00:00
V	9	6	1	2009-01-16		2009-01-15 00:00:00
V	10	6	1	2009-05-03		2009-05-02 00:00:00
V	11	2	1	2010-12-05		2010-12-04 00:00:00
V	12	2	1	2007-12-11		2007-12-10 00:00:00
V	13	2	1	2010-12-23		2010-12-22 00:00:00
V	14	1	1	2010-12-30		2010-12-29 00:00:00
V	15	1	1	2011-01-18		2011-01-17 00:00:00
V	16	5	1	2007-12-20	2009-07-14	2009-07-12 00:00:00
V	16	4	1	2009-07-15		2009-07-14 00:00:00
V	17	4	1	2007-01-26		2007-01-25 00:00:00
V	18	4	1	2011-02-07		2011-02-06 00:00:00
V	19	4	1	2011-02-14		2011-02-13 00:00:00
V	20	4	1	2011-01-07		2011-01-06 00:00:00
V	21	4	1	2009-03-02		2009-03-01 00:00:00
V	22	4	1	2008-12-12		2008-12-11 00:00:00
V	23	4	1	2009-01-12		2009-01-11 00:00:00
V	24	4	1	2009-01-18		2009-01-17 00:00:00
V	25	7	1	2009-02-03		2009-02-02 00:00:00
V	26	8	1	2008-12-01		2008-11-30 00:00:00
V	27	7	1	2008-02-27		2008-02-26 00:00:00
V	28	7	1	2006-06-30		2006-06-29 00:00:00
V	29	7	1	2009-01-23		2009-01-22 00:00:00
V	30	7	1	2009-01-29		2009-01-28 00:00:00
V	31	7	1	2009-01-04		2009-01-03 00:00:00
V	32	7	1	2008-12-29		2008-12-28 00:00:00
V	33	7	1	2008-12-17		2008-12-16 00:00:00
V	34	7	1	2009-02-16		2009-02-15 00:00:00
V	35	7	1	2009-02-08		2009-02-07 00:00:00
V	36	7	1	2009-02-10		2009-02-09 00:00:00
V	37	7	1	2009-03-07		2009-03-06 00:00:00
V	38	7	1	2010-01-16		2010-01-15 00:00:00
V	39	7	1	2010-02-05		2010-02-04 00:00:00
V	40	7	3	2007-12-26		2007-12-25 00:00:00
V	41	7	3	2009-01-21		2009-01-20 00:00:00
V	42	7	3	2008-12-27		2008-12-26 00:00:00
V	43	7	3	2009-01-02		2009-01-01 00:00:00
V	44	7	3	2008-12-08		2008-12-07 00:00:00
V	45	7	3	2009-02-26		2009-02-25 00:00:00
V	46	7	3	2009-02-08		2009-02-07 00:00:00
V	47	7	1	2009-02-22		2009-02-21 00:00:00
V	48	7	1	2008-01-06		2008-01-05 00:00:00
V	49	7	1	2008-01-07		2008-01-06 00:00:00
V	50	7	1	2008-02-02		2008-02-01 00:00:00
V	51	7	1	2008-02-20		2008-02-19 00:00:00
V	52	7	1	2008-03-10		2008-03-09 00:00:00
V	53	7	1	2008-03-28		2008-03-27 00:00:00
V	54	7	1	2010-01-01		2009-12-31 00:00:00
V	55	7	3	2008-02-08		2008-02-07 00:00:00
V	56	7	3	2009-02-05		2009-02-04 00:00:00
V	57	7	3	2009-02-23		2009-02-22 00:00:00
V	58	7	3	2008-12-05		2008-12-04 00:00:00
V	59	7	3	2008-12-24		2008-12-23 00:00:00
V	60	7	3	2009-01-11		2009-01-10 00:00:00
V	61	7	3	2009-01-18		2009-01-17 00:00:00
V	62	7	2	2008-03-17		2008-03-16 00:00:00
V	63	7	2	2010-01-29		2010-01-28 00:00:00
V	64	7	2	2010-02-23		2010-02-22 00:00:00
V	65	7	2	2010-02-23		2010-02-22 00:00:00
V	66	7	2	2009-12-22		2009-12-21 00:00:00
V	67	7	2	2009-03-05		2009-03-04 00:00:00
V	68	7	2	2009-12-03		2009-12-02 00:00:00
V	69	7	2	2009-02-15		2009-02-14 00:00:00
V	70	7	2	2008-12-15		2008-12-14 00:00:00
V	71	7	3	2009-02-15		2009-02-14 00:00:00
V	72	7	3	2008-12-01		2008-11-30 00:00:00
V	73	7	3	2008-12-19		2008-12-18 00:00:00
V	74	7	3	2009-01-07		2009-01-06 00:00:00
V	75	7	3	2009-01-26		2009-01-25 00:00:00
V	76	7	3	2009-02-12		2009-02-11 00:00:00
V	77	7	3	2009-03-03		2009-03-02 00:00:00
V	78	7	2	2008-12-15		2008-12-14 00:00:00
V	79	7	2	2010-01-24		2010-01-23 00:00:00
V	80	7	2	2010-01-17		2010-01-16 00:00:00
V	81	7	2	2009-12-29		2009-12-28 00:00:00
V	82	7	2	2010-03-03		2010-03-02 00:00:00
V	83	7	2	2010-02-12		2010-02-11 00:00:00
V	84	7	2	2010-02-05		2010-02-04 00:00:00
V	85	7	2	2009-12-11		2009-12-10 00:00:00
V	86	7	2	2009-01-05		2009-01-04 00:00:00
V	87	7	3	2008-12-22		2008-12-21 00:00:00
V	88	7	3	2009-12-18		2009-12-17 00:00:00
V	89	7	3	2010-02-01		2010-01-31 00:00:00
V	90	7	3	2010-02-20		2010-02-19 00:00:00
V	91	7	3	2010-01-12		2010-01-11 00:00:00
V	92	7	3	2010-03-10		2010-03-09 00:00:00
V	93	7	2	2008-12-27		2008-12-26 00:00:00
V	94	7	2	2008-12-12		2008-12-11 00:00:00
V	95	7	2	2008-12-19		2008-12-18 00:00:00
V	96	7	2	2009-03-02		2009-03-01 00:00:00
V	97	7	2	2009-02-10		2009-02-09 00:00:00
V	98	7	2	2009-02-11		2009-02-10 00:00:00
V	99	7	2	2009-01-06		2009-01-05 00:00:00
V	100	7	2	2009-01-12		2009-01-11 00:00:00
V	101	7	2	2009-01-25		2009-01-24 00:00:00
V	102	7	2	2008-12-03		2008-12-02 00:00:00
V	103	7	2	2009-12-06		2009-12-05 00:00:00
V	104	7	2	2009-12-25		2009-12-24 00:00:00
V	105	7	2	2009-12-25		2009-12-24 00:00:00
V	106	7	2	2010-02-27		2010-02-26 00:00:00
V	107	7	2	2010-02-08		2010-02-07 00:00:00
V	108	7	1	2008-12-08		2008-12-07 00:00:00
V	109	7	1	2008-12-07		2008-12-06 00:00:00
V	110	7	1	2008-12-14		2008-12-13 00:00:00
V	111	7	1	2008-12-17		2008-12-16 00:00:00
V	112	7	1	2009-01-01		2008-12-31 00:00:00
V	113	7	1	2008-12-25		2008-12-24 00:00:00
V	114	7	1	2009-01-13		2009-01-12 00:00:00
V	115	7	1	2009-01-20		2009-01-19 00:00:00
V	116	7	1	2009-01-31		2009-01-30 00:00:00
V	117	7	1	2009-02-18		2009-02-17 00:00:00
V	118	7	1	2009-02-13		2009-02-12 00:00:00
V	119	7	1	2009-02-25		2009-02-24 00:00:00
V	120	7	1	2009-03-04		2009-03-03 00:00:00
V	121	15	1	2009-01-02		2009-01-01 00:00:00
V	122	15	2	2008-12-07		2008-12-06 00:00:00
V	123	15	2	2008-12-07		2008-12-06 00:00:00
V	124	15	3	2008-12-26		2008-12-25 00:00:00
V	125	15	1	2009-01-20		2009-01-19 00:00:00
V	126	15	1	2009-02-26		2009-02-25 00:00:00
V	127	7	3	2009-01-03		2009-01-02 00:00:00
V	128	7	3	2008-12-04		2008-12-03 00:00:00
V	129	7	3	2008-12-22		2008-12-21 00:00:00
V	130	7	3	2009-02-13		2009-02-12 00:00:00
V	131	7	3	2009-02-15		2009-02-14 00:00:00
V	132	7	3	2009-02-22		2009-02-21 00:00:00
V	133	7	3	2009-01-10		2009-01-09 00:00:00
V	134	7	1	2009-01-14		2009-01-13 00:00:00
V	135	7	1	2008-12-04		2008-12-03 00:00:00
V	136	7	1	2009-12-11		2009-12-10 00:00:00
V	137	7	1	2009-02-23		2009-02-22 00:00:00
V	138	7	1	2009-02-04		2009-02-03 00:00:00
V	139	7	1	2010-01-06		2010-01-05 00:00:00
V	140	7	1	2010-01-22		2010-01-21 00:00:00
V	141	7	1	2010-01-24		2010-01-23 00:00:00
V	142	7	1	2010-03-04		2010-03-03 00:00:00
V	143	7	1	2010-02-13		2010-02-12 00:00:00
V	144	7	1	2009-01-17		2009-01-16 00:00:00
V	145	7	2	2009-01-27		2009-01-26 00:00:00
V	146	7	2	2008-12-07		2008-12-06 00:00:00
V	147	7	2	2008-12-26		2008-12-25 00:00:00
V	148	7	2	2009-01-14		2009-01-13 00:00:00
V	149	7	2	2009-01-31		2009-01-30 00:00:00
V	150	7	2	2009-02-26		2009-02-25 00:00:00
V	151	7	2	2009-02-19		2009-02-18 00:00:00
V	152	7	2	2009-02-01		2009-01-31 00:00:00
V	153	7	2	2008-12-16		2008-12-15 00:00:00
V	154	7	2	2008-12-23		2008-12-22 00:00:00
V	155	7	2	2009-01-04		2009-01-03 00:00:00
V	156	7	2	2009-01-11		2009-01-10 00:00:00
V	157	7	2	2009-02-03		2009-02-02 00:00:00
V	158	7	2	2009-03-07		2009-03-06 00:00:00
V	159	7	2	2009-02-16		2009-02-15 00:00:00
V	160	7	1	2009-01-21		2009-01-20 00:00:00
V	161	7	1	2008-12-15		2008-12-14 00:00:00
V	162	7	1	2009-01-03		2009-01-02 00:00:00
V	163	7	1	2009-02-08		2009-02-07 00:00:00
V	164	7	1	2009-03-06		2009-03-05 00:00:00
V	165	7	1	2009-01-22		2009-01-21 00:00:00
V	166	7	1	2009-02-21		2009-02-20 00:00:00
V	167	7	1	2008-12-02		2008-12-01 00:00:00
V	168	7	1	2008-12-07		2008-12-06 00:00:00
V	169	7	1	2008-12-14		2008-12-13 00:00:00
V	170	7	1	2008-12-21		2008-12-20 00:00:00
V	171	7	1	2009-01-02		2009-01-01 00:00:00
V	172	7	1	2009-01-16		2009-01-15 00:00:00
V	173	7	1	2009-01-21		2009-01-20 00:00:00
V	174	7	1	2009-01-27		2009-01-26 00:00:00
V	175	7	1	2009-02-02		2009-02-01 00:00:00
V	176	7	1	2009-02-14		2009-02-13 00:00:00
V	177	7	1	2009-02-21		2009-02-20 00:00:00
V	178	7	1	2009-03-03		2009-03-02 00:00:00
V	179	7	1	2009-03-05		2009-03-04 00:00:00
V	180	7	3	2009-02-20		2009-02-19 00:00:00
V	181	7	3	2008-12-09		2008-12-08 00:00:00
V	182	7	3	2008-12-28		2008-12-27 00:00:00
V	183	7	3	2009-01-22		2009-01-21 00:00:00
V	184	7	3	2009-02-09		2009-02-08 00:00:00
V	185	7	3	2009-02-28		2009-02-27 00:00:00
V	186	7	2	2009-02-08		2009-02-07 00:00:00
V	187	7	2	2008-12-09		2008-12-08 00:00:00
V	188	7	2	2008-12-27		2008-12-26 00:00:00
V	189	7	2	2009-01-15		2009-01-14 00:00:00
V	190	7	2	2009-02-02		2009-02-01 00:00:00
V	191	7	2	2009-02-26		2009-02-25 00:00:00
V	192	7	1	2009-03-05		2009-03-04 00:00:00
V	193	7	1	2008-12-06		2008-12-05 00:00:00
V	194	7	1	2008-12-12		2008-12-11 00:00:00
V	195	7	1	2008-12-17		2008-12-16 00:00:00
V	196	7	1	2008-12-24		2008-12-23 00:00:00
V	197	7	1	2008-12-31		2008-12-30 00:00:00
V	198	7	1	2009-01-04		2009-01-03 00:00:00
V	199	7	1	2009-01-12		2009-01-11 00:00:00
V	200	7	1	2009-01-17		2009-01-16 00:00:00
V	201	7	1	2009-01-29		2009-01-28 00:00:00
V	202	7	1	2009-02-05		2009-02-04 00:00:00
V	203	7	1	2009-02-24		2009-02-23 00:00:00
V	204	7	1	2009-03-08		2009-03-07 00:00:00
V	205	7	3	2009-02-26		2009-02-25 00:00:00
V	206	7	3	2008-12-02		2008-12-01 00:00:00
V	207	7	3	2008-12-02		2008-12-01 00:00:00
V	208	7	3	2009-01-08		2009-01-07 00:00:00
V	209	7	3	2009-01-27		2009-01-26 00:00:00
V	210	7	3	2009-02-20		2009-02-19 00:00:00
V	211	13	1	2009-02-28		2009-02-27 00:00:00
V	212	13	1	2008-12-09		2008-12-08 00:00:00
V	213	13	3	2010-02-23		2010-02-22 00:00:00
V	214	13	2	2009-02-02		2009-02-01 00:00:00
V	215	13	1	2009-01-15		2009-01-14 00:00:00
V	216	13	1	2008-12-28		2008-12-27 00:00:00
V	217	12	1	2009-01-04		2009-01-03 00:00:00
V	218	12	3	2008-12-16		2008-12-15 00:00:00
V	219	12	1	2009-01-22		2009-01-21 00:00:00
V	220	12	1	2009-02-09		2009-02-08 00:00:00
V	221	12	2	2009-03-06		2009-03-05 00:00:00
V	222	8	1	2008-12-12		2008-12-11 00:00:00
V	223	8	1	2009-01-26		2009-01-25 00:00:00
V	224	7	1	2009-01-07	2011-08-31	2011-08-29 00:00:00
V	224	8	1	2011-09-01		2011-08-31 00:00:00
V	225	8	2	2009-02-13		2009-02-12 00:00:00
V	226	8	3	2009-03-03		2009-03-02 00:00:00
V	227	14	1	2009-12-02		2009-12-01 00:00:00
V	228	14	1	2008-12-14		2008-12-13 00:00:00
V	229	14	3	2010-02-16		2010-02-15 00:00:00
V	230	14	2	2010-03-05		2010-03-04 00:00:00
V	231	14	3	2010-03-07		2010-03-06 00:00:00
V	232	14	2	2010-01-27		2010-01-26 00:00:00
V	233	14	1	2009-12-21		2009-12-20 00:00:00
V	234	10	1	2009-01-31	2013-11-13	2013-11-11 00:00:00
V	234	16	1	2013-11-14		2013-11-13 00:00:00
V	235	9	1	2008-12-06		2008-12-05 00:00:00
V	236	9	1	2009-02-25		2009-02-24 00:00:00
V	237	9	1	2009-02-06		2009-02-05 00:00:00
V	238	9	1	2009-01-01		2008-12-31 00:00:00
V	239	9	1	2008-12-25		2008-12-24 00:00:00
V	240	9	1	2008-12-13		2008-12-12 00:00:00
V	241	10	1	2009-01-30		2009-01-29 00:00:00
V	242	10	1	2008-12-18		2008-12-17 00:00:00
V	243	10	1	2009-01-06		2009-01-05 00:00:00
V	244	10	1	2009-01-24		2009-01-23 00:00:00
V	245	10	1	2009-02-18		2009-02-17 00:00:00
V	246	10	1	2009-02-11		2009-02-10 00:00:00
V	247	10	1	2009-03-01		2009-02-28 00:00:00
V	248	10	1	2009-03-08		2009-03-07 00:00:00
V	249	10	1	2008-12-25		2008-12-24 00:00:00
V	250	4	1	2011-02-25	2011-07-30	2011-07-28 00:00:00
V	250	13	1	2011-07-31	2012-07-14	2012-07-12 00:00:00
V	250	5	1	2012-07-15		2012-07-14 00:00:00
V	251	5	1	2009-02-10		2009-02-09 00:00:00
V	252	5	1	2009-02-28		2009-02-27 00:00:00
V	253	5	1	2009-12-17		2009-12-16 00:00:00
V	254	5	1	2010-01-04		2010-01-03 00:00:00
V	255	5	1	2010-01-11		2010-01-10 00:00:00
V	256	5	1	2010-01-23		2010-01-22 00:00:00
V	257	5	1	2010-01-27		2010-01-26 00:00:00
V	258	5	1	2010-01-31		2010-01-30 00:00:00
V	259	5	1	2010-03-09		2010-03-08 00:00:00
V	260	5	1	2010-12-06		2010-12-05 00:00:00
V	261	5	1	2010-12-25		2010-12-24 00:00:00
V	262	10	1	2009-01-12		2009-01-11 00:00:00
V	263	11	1	2008-12-11		2008-12-10 00:00:00
V	264	11	1	2009-02-04		2009-02-03 00:00:00
V	265	11	2	2008-12-04		2008-12-03 00:00:00
V	266	11	1	2009-02-23		2009-02-22 00:00:00
V	267	11	1	2009-02-16		2009-02-15 00:00:00
V	268	11	1	2009-02-03		2009-02-02 00:00:00
V	269	11	1	2009-01-11		2009-01-10 00:00:00
V	270	11	1	2009-01-17		2009-01-16 00:00:00
V	271	11	1	2009-01-22		2009-01-21 00:00:00
V	272	11	1	2008-12-23		2008-12-22 00:00:00
V	273	3	1	2011-02-15		2011-02-14 00:00:00
V	274	3	1	2011-01-04		2011-01-03 00:00:00
V	275	3	1	2011-05-31		2011-05-30 00:00:00
V	276	3	1	2011-05-31		2011-05-30 00:00:00
V	277	3	1	2011-05-31		2011-05-30 00:00:00
V	278	3	1	2011-05-31		2011-05-30 00:00:00
V	279	3	1	2011-05-31		2011-05-30 00:00:00
V	280	3	1	2011-05-31		2011-05-30 00:00:00
V	281	3	1	2011-05-31		2011-05-30 00:00:00
V	282	3	1	2011-05-31		2011-05-30 00:00:00
V	283	3	1	2011-05-31		2011-05-30 00:00:00
V	284	3	1	2012-09-30		2012-09-29 00:00:00
V	285	3	1	2013-03-14		2013-03-13 00:00:00
V	286	3	1	2013-05-30		2013-05-29 00:00:00
V	287	3	1	2012-04-16		2012-04-15 00:00:00
V	288	3	1	2013-05-30		2013-05-29 00:00:00
V	289	3	1	2012-05-30		2012-05-29 00:00:00
V	290	3	1	2012-05-30		2012-05-29 00:00:00
