OpFlag	BusinessEntityID	RateChangeDate	Rate	PayFrequency	ModifiedDate
V	1	2009-01-14 00:00:00	125.5	2	2014-06-30 00:00:00
V	2	2008-01-31 00:00:00	63.4615	2	2014-06-30 00:00:00
V	3	2007-11-11 00:00:00	43.2692	2	2014-06-30 00:00:00
V	4	2007-12-05 00:00:00	8.62	2	2007-11-21 00:00:00
V	4	2010-05-31 00:00:00	23.72	2	2010-05-16 00:00:00
V	4	2011-12-15 00:00:00	29.8462	2	2011-12-01 00:00:00
V	5	2008-01-06 00:00:00	32.6923	2	2014-06-30 00:00:00
V	6	2008-01-24 00:00:00	32.6923	2	2014-06-30 00:00:00
V	7	2009-02-08 00:00:00	50.4808	2	2014-06-30 00:00:00
V	8	2008-12-29 00:00:00	40.8654	2	2014-06-30 00:00:00
V	9	2009-01-16 00:00:00	40.8654	2	2014-06-30 00:00:00
V	10	2009-05-03 00:00:00	42.4808	2	2014-06-30 00:00:00
V	11	2010-12-05 00:00:00	28.8462	2	2014-06-30 00:00:00
V	12	2007-12-11 00:00:00	25	2	2014-06-30 00:00:00
V	13	2010-12-23 00:00:00	25	2	2014-06-30 00:00:00
V	14	2010-12-30 00:00:00	36.0577	2	2014-06-30 00:00:00
V	15	2011-01-18 00:00:00	32.6923	2	2014-06-30 00:00:00
V	16	2007-12-20 00:00:00	24	2	2007-12-06 00:00:00
V	16	2009-07-15 00:00:00	28.75	2	2009-07-01 00:00:00
V	16	2012-04-30 00:00:00	37.5	2	2012-04-16 00:00:00
V	17	2007-01-26 00:00:00	13.4615	2	2014-06-30 00:00:00
V	18	2011-02-07 00:00:00	14.4231	2	2014-06-30 00:00:00
V	19	2011-02-14 00:00:00	13.4615	2	2014-06-30 00:00:00
V	20	2011-01-07 00:00:00	13.4615	2	2014-06-30 00:00:00
V	21	2009-03-02 00:00:00	14.4231	2	2014-06-30 00:00:00
V	22	2008-12-12 00:00:00	14.4231	2	2014-06-30 00:00:00
V	23	2009-01-12 00:00:00	14.4231	2	2014-06-30 00:00:00
V	24	2009-01-18 00:00:00	14.4231	2	2014-06-30 00:00:00
V	25	2009-02-03 00:00:00	84.1346	2	2014-06-30 00:00:00
V	26	2008-12-01 00:00:00	24.5192	2	2014-06-30 00:00:00
V	27	2008-02-27 00:00:00	25	2	2014-06-30 00:00:00
V	28	2006-06-30 00:00:00	12.45	1	2014-06-30 00:00:00
V	29	2009-01-23 00:00:00	12.45	1	2014-06-30 00:00:00
V	30	2009-01-29 00:00:00	12.45	1	2014-06-30 00:00:00
V	31	2009-01-04 00:00:00	12.45	1	2014-06-30 00:00:00
V	32	2008-12-29 00:00:00	12.45	1	2014-06-30 00:00:00
V	33	2008-12-17 00:00:00	12.45	1	2014-06-30 00:00:00
V	34	2009-02-16 00:00:00	12.45	1	2014-06-30 00:00:00
V	35	2009-02-08 00:00:00	12.45	1	2014-06-30 00:00:00
V	36	2009-02-10 00:00:00	12.45	1	2014-06-30 00:00:00
V	37	2009-03-07 00:00:00	12.45	1	2014-06-30 00:00:00
V	38	2010-01-16 00:00:00	12.45	1	2014-06-30 00:00:00
V	39	2010-02-05 00:00:00	12.45	1	2014-06-30 00:00:00
V	40	2007-12-26 00:00:00	25	2	2014-06-30 00:00:00
V	41	2009-01-21 00:00:00	12.45	1	2014-06-30 00:00:00
V	42	2008-12-27 00:00:00	12.45	1	2014-06-30 00:00:00
V	43	2009-01-02 00:00:00	12.45	1	2014-06-30 00:00:00
V	44	2008-12-08 00:00:00	12.45	1	2014-06-30 00:00:00
V	45	2009-02-26 00:00:00	12.45	1	2014-06-30 00:00:00
V	46	2009-02-08 00:00:00	12.45	1	2014-06-30 00:00:00
V	47	2009-02-22 00:00:00	25	2	2014-06-30 00:00:00
V	48	2008-01-06 00:00:00	13.45	1	2014-06-30 00:00:00
V	49	2008-01-07 00:00:00	13.45	1	2014-06-30 00:00:00
V	50	2008-02-02 00:00:00	13.45	1	2014-06-30 00:00:00
V	51	2008-02-20 00:00:00	13.45	1	2014-06-30 00:00:00
V	52	2008-03-10 00:00:00	13.45	1	2014-06-30 00:00:00
V	53	2008-03-28 00:00:00	13.45	1	2014-06-30 00:00:00
V	54	2010-01-01 00:00:00	13.45	1	2014-06-30 00:00:00
V	55	2008-02-08 00:00:00	25	2	2014-06-30 00:00:00
V	56	2009-02-05 00:00:00	11	1	2014-06-30 00:00:00
V	57	2009-02-23 00:00:00	11	1	2014-06-30 00:00:00
V	58	2008-12-05 00:00:00	11	1	2014-06-30 00:00:00
V	59	2008-12-24 00:00:00	11	1	2014-06-30 00:00:00
V	60	2009-01-11 00:00:00	11	1	2014-06-30 00:00:00
V	61	2009-01-18 00:00:00	11	1	2014-06-30 00:00:00
V	62	2008-03-17 00:00:00	25	2	2014-06-30 00:00:00
V	63	2010-01-29 00:00:00	12.45	1	2014-06-30 00:00:00
V	64	2010-02-23 00:00:00	12.45	1	2014-06-30 00:00:00
V	65	2010-02-23 00:00:00	12.45	1	2014-06-30 00:00:00
V	66	2009-12-22 00:00:00	12.45	1	2014-06-30 00:00:00
V	67	2009-03-05 00:00:00	12.45	1	2014-06-30 00:00:00
V	68	2009-12-03 00:00:00	12.45	1	2014-06-30 00:00:00
V	69	2009-02-15 00:00:00	12.45	1	2014-06-30 00:00:00
V	70	2008-12-15 00:00:00	12.45	1	2014-06-30 00:00:00
V	71	2009-02-15 00:00:00	25	2	2014-06-30 00:00:00
V	72	2008-12-01 00:00:00	9.5	1	2014-06-30 00:00:00
V	73	2008-12-19 00:00:00	9.5	1	2014-06-30 00:00:00
V	74	2009-01-07 00:00:00	9.5	1	2014-06-30 00:00:00
V	75	2009-01-26 00:00:00	9.5	1	2014-06-30 00:00:00
V	76	2009-02-12 00:00:00	9.5	1	2014-06-30 00:00:00
V	77	2009-03-03 00:00:00	9.5	1	2014-06-30 00:00:00
V	78	2008-12-15 00:00:00	25	2	2014-06-30 00:00:00
V	79	2010-01-24 00:00:00	15	1	2014-06-30 00:00:00
V	80	2010-01-17 00:00:00	15	1	2014-06-30 00:00:00
V	81	2009-12-29 00:00:00	15	1	2014-06-30 00:00:00
V	82	2010-03-03 00:00:00	15	1	2014-06-30 00:00:00
V	83	2010-02-12 00:00:00	15	1	2014-06-30 00:00:00
V	84	2010-02-05 00:00:00	15	1	2014-06-30 00:00:00
V	85	2009-12-11 00:00:00	15	1	2014-06-30 00:00:00
V	86	2009-01-05 00:00:00	15	1	2014-06-30 00:00:00
V	87	2008-12-22 00:00:00	25	2	2014-06-30 00:00:00
V	88	2009-12-18 00:00:00	13.45	1	2014-06-30 00:00:00
V	89	2010-02-01 00:00:00	13.45	1	2014-06-30 00:00:00
V	90	2010-02-20 00:00:00	13.45	1	2014-06-30 00:00:00
V	91	2010-01-12 00:00:00	13.45	1	2014-06-30 00:00:00
V	92	2010-03-10 00:00:00	13.45	1	2014-06-30 00:00:00
V	93	2008-12-27 00:00:00	25	2	2014-06-30 00:00:00
V	94	2008-12-12 00:00:00	11	1	2014-06-30 00:00:00
V	95	2008-12-19 00:00:00	11	1	2014-06-30 00:00:00
V	96	2009-03-02 00:00:00	11	1	2014-06-30 00:00:00
V	97	2009-02-10 00:00:00	11	1	2014-06-30 00:00:00
V	98	2009-02-11 00:00:00	11	1	2014-06-30 00:00:00
V	99	2009-01-06 00:00:00	11	1	2014-06-30 00:00:00
V	100	2009-01-12 00:00:00	11	1	2014-06-30 00:00:00
V	101	2009-01-25 00:00:00	11	1	2014-06-30 00:00:00
V	102	2008-12-03 00:00:00	25	2	2014-06-30 00:00:00
V	103	2009-12-06 00:00:00	13.45	1	2014-06-30 00:00:00
V	104	2009-12-25 00:00:00	13.45	1	2014-06-30 00:00:00
V	105	2009-12-25 00:00:00	13.45	1	2014-06-30 00:00:00
V	106	2010-02-27 00:00:00	13.45	1	2014-06-30 00:00:00
V	107	2010-02-08 00:00:00	13.45	1	2014-06-30 00:00:00
V	108	2008-12-08 00:00:00	25	2	2014-06-30 00:00:00
V	109	2008-12-07 00:00:00	11	1	2014-06-30 00:00:00
V	110	2008-12-14 00:00:00	11	1	2014-06-30 00:00:00
V	111	2008-12-17 00:00:00	11	1	2014-06-30 00:00:00
V	112	2009-01-01 00:00:00	11	1	2014-06-30 00:00:00
V	113	2008-12-25 00:00:00	11	1	2014-06-30 00:00:00
V	114	2009-01-13 00:00:00	11	1	2014-06-30 00:00:00
V	115	2009-01-20 00:00:00	11	1	2014-06-30 00:00:00
V	116	2009-01-31 00:00:00	11	1	2014-06-30 00:00:00
V	117	2009-02-18 00:00:00	11	1	2014-06-30 00:00:00
V	118	2009-02-13 00:00:00	11	1	2014-06-30 00:00:00
V	119	2009-02-25 00:00:00	11	1	2014-06-30 00:00:00
V	120	2009-03-04 00:00:00	11	1	2014-06-30 00:00:00
V	121	2009-01-02 00:00:00	19.2308	2	2014-06-30 00:00:00
V	122	2008-12-07 00:00:00	9	1	2014-06-30 00:00:00
V	123	2008-12-07 00:00:00	9.5	2	2014-06-30 00:00:00
V	124	2008-12-26 00:00:00	9	1	2014-06-30 00:00:00
V	125	2009-01-20 00:00:00	9.5	2	2014-06-30 00:00:00
V	126	2009-02-26 00:00:00	9	1	2014-06-30 00:00:00
V	127	2009-01-03 00:00:00	25	2	2014-06-30 00:00:00
V	128	2008-12-04 00:00:00	15	1	2014-06-30 00:00:00
V	129	2008-12-22 00:00:00	15	1	2014-06-30 00:00:00
V	130	2009-02-13 00:00:00	15	1	2014-06-30 00:00:00
V	131	2009-02-15 00:00:00	15	1	2014-06-30 00:00:00
V	132	2009-02-22 00:00:00	15	1	2014-06-30 00:00:00
V	133	2009-01-10 00:00:00	15	1	2014-06-30 00:00:00
V	134	2009-01-14 00:00:00	25	2	2014-06-30 00:00:00
V	135	2008-12-04 00:00:00	14	1	2014-06-30 00:00:00
V	136	2009-12-11 00:00:00	14	1	2014-06-30 00:00:00
V	137	2009-02-23 00:00:00	14	1	2014-06-30 00:00:00
V	138	2009-02-04 00:00:00	14	1	2014-06-30 00:00:00
V	139	2010-01-06 00:00:00	14	1	2014-06-30 00:00:00
V	140	2010-01-22 00:00:00	14	1	2014-06-30 00:00:00
V	141	2010-01-24 00:00:00	14	1	2014-06-30 00:00:00
V	142	2010-03-04 00:00:00	14	1	2014-06-30 00:00:00
V	143	2010-02-13 00:00:00	14	1	2014-06-30 00:00:00
V	144	2009-01-17 00:00:00	14	1	2014-06-30 00:00:00
V	145	2009-01-27 00:00:00	25	2	2014-06-30 00:00:00
V	146	2008-12-07 00:00:00	9.5	1	2014-06-30 00:00:00
V	147	2008-12-26 00:00:00	9.5	1	2014-06-30 00:00:00
V	148	2009-01-14 00:00:00	9.5	1	2014-06-30 00:00:00
V	149	2009-01-31 00:00:00	9.5	1	2014-06-30 00:00:00
V	150	2009-02-26 00:00:00	9.5	1	2014-06-30 00:00:00
V	151	2009-02-19 00:00:00	9.5	1	2014-06-30 00:00:00
V	152	2009-02-01 00:00:00	25	2	2014-06-30 00:00:00
V	153	2008-12-16 00:00:00	14	1	2014-06-30 00:00:00
V	154	2008-12-23 00:00:00	14	1	2014-06-30 00:00:00
V	155	2009-01-04 00:00:00	14	1	2014-06-30 00:00:00
V	156	2009-01-11 00:00:00	14	1	2014-06-30 00:00:00
V	157	2009-02-03 00:00:00	14	1	2014-06-30 00:00:00
V	158	2009-03-07 00:00:00	14	1	2014-06-30 00:00:00
V	159	2009-02-16 00:00:00	14	1	2014-06-30 00:00:00
V	160	2009-01-21 00:00:00	25	2	2014-06-30 00:00:00
V	161	2008-12-15 00:00:00	10	1	2014-06-30 00:00:00
