\P\	LocationID	Name	CostRate	Availability	ModifiedDate\
T	5	$	7	7	D
N	0	1	0	0	0
#
V	1	Tool Crib	0	.00	2008-04-30 00:00:00
V	2	Sheet Metal Racks	0	.00	2008-04-30 00:00:00
V	3	Paint Shop	0	.00	2008-04-30 00:00:00
V	4	Paint Storage	0	.00	2008-04-30 00:00:00
V	5	Metal Storage	0	.00	2008-04-30 00:00:00
V	6	Miscellaneous Storage	0	.00	2008-04-30 00:00:00
V	7	Finished Goods Storage	0	.00	2008-04-30 00:00:00
V	10	Frame Forming	22.5	96.00	2008-04-30 00:00:00
V	20	Frame Welding	25	108.00	2008-04-30 00:00:00
V	30	Debur and Polish	14.5	120.00	2008-04-30 00:00:00
V	40	Paint	15.75	120.00	2008-04-30 00:00:00
V	45	Specialized Paint	18	80.00	2008-04-30 00:00:00
V	50	Subassembly	12.25	120.00	2008-04-30 00:00:00
V	60	Final Assembly	12.25	120.00	2008-04-30 00:00:00
