\P\	Pos	BusinessEntityID\
T	5	5
N	0	0
K	0	1
#		
V	306	1
V	556	2
V	807	3
V	1062	4
V	1310	5
V	1564	6
V	1820	7
V	2070	8
V	2322	9
V	2572	10
V	2824	11
V	3077	12
V	3330	13
V	3585	14
V	3840	15
V	4095	16
V	4347	17
V	4597	18
V	4845	19
V	5096	20
V	5350	21
V	5604	22
V	5867	23
V	6117	24
V	6372	25
V	6625	26
V	6875	27
V	7122	28
V	7372	29
V	7624	30
V	7875	31
V	8126	32
V	8379	33
V	8629	34
V	8882	35
V	9139	36
V	9387	37
V	9641	38
V	9895	39
V	10148	40
V	10400	41
V	10649	42
V	10900	43
V	11153	44
V	11404	45
V	11658	46
V	11909	47
V	12159	48
V	12415	49
V	12667	50
V	12917	51
V	13168	52
V	13420	53
V	13670	54
V	13923	55
V	14176	56
V	14427	57
V	14678	58
V	14929	59
V	15178	60
V	15426	61
V	15678	62
V	15930	63
V	16181	64
V	16436	65
V	16687	66
V	16938	67
V	17186	68
V	17443	69
V	17695	70
V	17945	71
V	18198	72
V	18452	73
V	18704	74
V	18955	75
V	19207	76
V	19459	77
V	19708	78
V	19958	79
V	20207	80
V	20462	81
V	20714	82
V	20965	83
V	21216	84
V	21469	85
V	21729	86
V	21982	87
V	22240	88
V	22492	89
V	22744	90
V	22997	91
V	23254	92
V	23508	93
V	23757	94
V	24009	95
V	24261	96
V	24516	97
V	24768	98
V	25020	99
V	25265	100
V	25515	101
V	25772	102
V	26020	103
V	26270	104
V	26520	105
V	26771	106
V	27020	107
V	27276	108
V	27527	109
V	27778	110
V	28025	111
V	28278	112
V	28528	113
V	28782	114
V	29042	115
V	29298	116
V	29552	117
V	29806	118
V	30054	119
V	30307	120
V	30568	121
V	30822	122
V	31073	123
V	31324	124
V	31573	125
V	31828	126
V	32082	127
V	32336	128
V	32591	129
V	32842	130
V	33091	131
V	33344	132
V	33599	133
V	33856	134
V	34107	135
V	34363	136
V	34619	137
V	34871	138
V	35125	139
V	35380	140
V	35643	141
V	35889	142
V	36142	143
V	36401	144
V	36651	145
V	36906	146
V	37159	147
V	37420	148
V	37673	149
V	37922	150
V	38180	151
V	38438	152
V	38687	153
V	38939	154
V	39190	155
V	39443	156
V	39698	157
V	39951	158
V	40203	159
V	40457	160
V	40705	161
V	40962	162
V	41214	163
V	41466	164
V	41720	165
V	41973	166
V	42225	167
V	42478	168
V	42731	169
V	42984	170
V	43233	171
V	43487	172
V	43737	173
V	43995	174
V	44250	175
V	44499	176
V	44758	177
V	45010	178
V	45259	179
V	45512	180
V	45772	181
V	46025	182
V	46282	183
V	46536	184
V	46785	185
V	47037	186
V	47286	187
V	47538	188
