\P\	Pos	ProductID\
T	5	5
N	0	0
K	0	1
#
V	647	1
V	795	2
V	940	3
V	1087	4
V	1240	316
V	1379	317
V	1531	318
V	1683	319
V	1833	320
V	1989	321
V	2143	322
V	2292	323
V	2437	324
V	2583	325
V	2725	326
V	2867	327
V	3010	328
V	3162	329
V	3310	330
V	3461	331
V	3603	332
V	3752	341
V	3900	342
V	4048	343
V	4196	344
V	4344	345
V	4492	346
V	4640	347
V	4788	348
V	4936	349
V	5084	350
V	5228	351
V	5389	352
V	5553	355
V	5699	356
V	5847	357
V	5995	358
V	6141	359
V	6294	360
V	6448	361
V	6601	362
V	6754	363
V	6908	364
V	7062	365
V	7215	366
V	7368	367
V	7521	368
V	7674	369
V	7828	370
V	7982	371
V	8135	372
V	8288	373
V	8442	374
V	8596	375
V	8740	376
V	8884	377
V	9029	378
V	9174	379
V	9318	380
V	9462	381
V	9606	382
V	9751	383
V	9896	384
V	10041	385
V	10186	386
V	10330	387
V	10475	388
V	10620	389
V	10764	390
V	10909	391
V	11054	392
V	11198	393
V	11343	394
V	11488	395
V	11632	396
V	11777	397
V	11922	398
V	12070	399
V	12213	400
V	12355	401
V	12495	402
V	12642	403
V	12799	404
V	12956	405
V	13113	406
V	13270	407
V	13427	408
V	13584	409
V	13741	410
V	13898	411
V	14055	412
V	14212	413
V	14369	414
V	14526	415
V	14683	416
V	14840	417
V	14997	418
V	15155	419
V	15312	420
V	15469	421
V	15626	422
V	15780	423
V	15935	424
V	16089	425
V	16243	426
V	16398	427
V	16553	428
V	16707	429
V	16861	430
V	17015	431
V	17169	432
V	17324	433
V	17479	434
V	17633	435
V	17787	436
V	17942	437
V	18097	438
V	18242	439
V	18387	440
V	18533	441
V	18679	442
V	18824	443
V	18969	444
V	19114	445
V	19260	446
V	19406	447
V	19552	448
V	19698	449
V	19843	450
V	19989	451
V	20135	452
V	20280	453
V	20426	454
V	20572	455
V	20717	456
V	20863	457
V	21009	458
V	21154	459
V	21300	460
V	21446	461
V	21596	462
V	21746	463
V	21894	464
V	22042	465
V	22191	466
V	22339	467
V	22488	468
V	22636	469
V	22784	470
V	22932	471
V	23081	472
V	23229	473
V	23377	474
V	23525	475
V	23674	476
V	23820	477
V	23966	478
V	24112	479
V	24260	480
V	24408	481
V	24556	482
V	24704	483
V	24852	484
V	25000	485
V	25148	486
V	25296	487
V	25444	488
V	25592	489
V	25744	490
V	25890	491
V	26034	492
V	26179	493
V	26322	494
V	26468	495
V	26612	496
V	26758	497
V	26903	504
V	27053	505
V	27204	506
V	27348	507
V	27508	508
V	27668	509
V	27826	510
V	27982	511
V	28138	512
V	28292	513
V	28446	514
V	28616	515
V	28787	516
