\P\	Pos	ProductSubcategoryID\
T	5	5
N	0	0
#		
V	647	14
V	32189	14
V	32384	31
V	32556	31
V	32730	23
V	32924	23
V	33118	31
V	33292	19
V	33454	21
V	33636	21
V	33818	21
V	34000	21
V	34184	14
V	34380	14
V	34576	14
V	34772	14
V	34968	14
V	35164	14
V	35364	14
V	35564	14
V	35764	14
V	35979	14
V	36194	14
V	36409	14
V	36624	14
V	36839	14
V	37054	14
V	37270	14
V	37486	14
V	37702	14
V	37918	14
V	38134	14
V	38334	14
V	38534	14
V	38734	12
V	38940	12
V	39164	12
V	39388	12
V	39594	12
V	39797	12
V	40020	12
V	40243	12
V	40446	12
V	40649	12
V	40855	2
V	41065	2
V	41275	2
V	41485	2
V	41695	2
V	41905	2
V	42114	2
V	42323	2
V	42532	2
V	42741	2
V	42950	2
V	43158	2
V	43366	2
V	43574	2
V	43782	2
V	43990	2
V	44198	2
V	44410	2
V	44622	2
V	44834	2
V	45046	2
V	45258	2
V	45470	1
V	45690	1
V	45910	1
V	46130	1
V	46350	1
V	46568	1
V	46786	1
V	47004	1
V	47222	1
V	47423	1
V	47624	1
V	47825	1
V	48024	1
V	48223	1
V	48422	1
V	48639	1
V	48856	1
V	49073	1
V	49290	2
V	49500	2
V	49710	2
V	49920	2
V	50111	2
V	50306	2
V	50501	2
V	50696	2
V	50891	2
V	51089	2
V	51287	2
V	51485	2
V	51683	2
V	51881	10
V	52059	10
V	52237	10
V	52416	11
V	52594	11
V	52774	11
V	52954	4
V	53127	4
V	53300	4
V	53474	4
V	53643	4
V	53812	4
V	53982	12
V	54206	17
V	54406	17
V	54607	17
V	54809	17
V	55014	17
V	55221	17
V	55427	17
V	55621	14
V	55826	17
V	56026	17
V	56228	17
V	56430	17
V	56637	17
V	56844	17
V	57049	17
V	57243	12
V	57467	12
V	57691	12
V	57915	14
V	58120	14
V	58325	14
V	58530	14
V	58735	14
V	58935	14
V	59135	14
V	59335	14
V	59535	22
V	59732	35
V	59923	34
V	60096	36
V	60269	36
V	60448	33
V	60641	33
V	60829	33
V	61020	22
V	61217	22
V	61414	22
V	61613	24
V	61805	24
V	61997	24
V	62189	18
V	62383	18
V	62577	18
V	62771	20
V	62946	20
V	63121	20
V	63296	20
V	63491	20
V	63686	20
V	63881	25
V	64048	25
V	64215	25
V	64382	22
V	64564	22
V	64746	22
V	64928	28
V	65094	28
V	65259	28
V	65420	37
V	65584	23
V	65753	23
V	65922	26
V	66084	29
V	66250	30
V	66417	27
V	66583	32
V	66764	21
V	66951	21
V	67138	21
V	67325	21
V	67514	16
V	67720	16
V	67926	16
V	68132	16
V	68338	16
V	68544	16
V	68746	16
V	68948	16
V	69150	16
V	69352	9
V	69531	16
V	69733	16
V	69935	16
V	70137	16
V	70339	16
V	70545	16
V	70751	16
V	70957	16
V	71163	16
V	71365	12
V	71574	12
V	71783	12
V	71992	6
V	72165	15
V	72340	15
V	72515	15
V	72690	15
V	72861	15
V	73032	15
V	73203	15
V	73377	15
V	73551	15
V	73725	12
V	73931	12
V	74137	12
V	74343	12
V	74549	37
V	74715	37
V	74877	37
V	75042	12
V	75245	12
V	75448	12
V	75651	12
V	75854	37
V	76021	37
V	76189	37
V	76352	37
V	76515	37
V	76678	37
V	76841	37
V	77003	13
V	77193	13
V	77382	13
V	77572	13
V	77758	13
V	77943	13
V	78129	13
V	78304	12
V	78513	12
V	78716	12
V	78922	9
V	79100	4
V	79271	4
V	79443	6
V	79617	8
V	79792	8
V	79969	8
V	80146	7
V	80303	3
V	80499	3
V	80700	3
V	80901	3
V	81102	3
V	81303	3
V	81498	3
V	81693	3
V	81888	3
V	82087	3
V	82286	3
V	82485	3
V	82684	3
V	82883	3
V	83080	3
V	83277	3
V	83474	3
V	83671	3
V	83867	3
V	84063	3
V	84259	2
V	84456	2
V	84653	2
V	84850	2
V	85047	2
V	85240	3
V	85435	3
V	85630	1
V	85831	1
V	86032	1
V	86233	1
V	86434	1
V	86633	1
V	86832	1
V	87031	1
V	87230	1
V	87429	1
V	87626	1
V	87823	1
V	88020	1
V	88217	1
V	88414	5
V	88589	5
V	88765	5
V	88941	2
V	89134	2
V	89327	2
