\P\	Pos	SizeUnitMeasureCode\
T	5	$
N	0	1
#
V	647	CM 
V	32189	CM 
V	32384	CM 
V	34380	CM 
V	34576	CM 
V	34772	CM 
V	34968	CM 
V	35164	CM 
V	35364	CM 
V	35564	CM 
V	35764	CM 
V	35979	CM 
V	36194	CM 
V	36409	CM 
V	36624	CM 
V	36839	CM 
V	37054	CM 
V	37270	CM 
V	37486	CM 
V	37702	CM 
V	37918	CM 
V	38134	CM 
V	38334	CM 
V	38534	CM 
V	38734	CM 
V	38940	CM 
V	39164	CM 
V	39388	CM 
V	39594	CM 
V	39797	CM 
V	40020	CM 
V	40243	CM 
V	40446	CM 
V	40649	CM 
V	40855	CM 
V	41065	CM 
V	41275	CM 
V	41485	CM 
V	41695	CM 
V	41905	CM 
V	42114	CM 
V	42323	CM 
V	42532	CM 
V	42741	CM 
V	42950	CM 
V	43158	CM 
V	43366	CM 
V	43574	CM 
V	43782	CM 
V	43990	CM 
V	44198	CM 
V	44410	CM 
V	44622	CM 
V	44834	CM 
V	45046	CM 
V	45258	CM 
V	45470	CM 
V	45690	CM 
V	45910	CM 
V	46130	CM 
V	46350	CM 
V	46568	CM 
V	46786	CM 
V	47004	CM 
V	47222	CM 
V	47423	CM 
V	47624	CM 
V	47825	CM 
V	48024	CM 
V	48223	CM 
V	48422	CM 
V	48639	CM 
V	48856	CM 
V	49073	CM 
V	49290	CM 
V	49500	CM 
V	49710	CM 
V	49920	CM 
V	50111	CM 
V	50306	CM 
V	50501	CM 
V	50696	CM 
V	50891	CM 
V	51089	CM 
V	51287	CM 
V	51485	CM 
V	51683	CM 
V	51881	CM 
V	54206	CM 
V	55826	CM 
V	57467	CM 
V	57691	CM 
V	57915	CM 
V	58120	CM 
V	58325	CM 
V	58530	CM 
V	58735	CM 
V	58935	CM 
V	59135	CM 
V	59335	CM 
V	59535	CM 
V	67720	CM 
V	67926	CM 
V	68132	CM 
V	68338	CM 
V	68544	CM 
V	68746	CM 
V	68948	CM 
V	69150	CM 
V	69352	CM 
V	69733	CM 
V	69935	CM 
V	70137	CM 
V	70339	CM 
V	70545	CM 
V	70751	CM 
V	70957	CM 
V	71163	CM 
V	71365	CM 
V	71574	CM 
V	71783	CM 
V	71992	CM 
V	73931	CM 
V	74137	CM 
V	74343	CM 
V	74549	CM 
V	75245	CM 
V	75448	CM 
V	75651	CM 
V	75854	CM 
V	78513	CM 
V	78716	CM 
V	78922	CM 
V	80499	CM 
V	80700	CM 
V	80901	CM 
V	81102	CM 
V	81303	CM 
V	81498	CM 
V	81693	CM 
V	81888	CM 
V	82087	CM 
V	82286	CM 
V	82485	CM 
V	82684	CM 
V	82883	CM 
V	83080	CM 
V	83277	CM 
V	83474	CM 
V	83671	CM 
V	83867	CM 
V	84063	CM 
V	84259	CM 
V	84456	CM 
V	84653	CM 
V	84850	CM 
V	85047	CM 
V	85240	CM 
V	85435	CM 
V	85630	CM 
V	85831	CM 
V	86032	CM 
V	86233	CM 
V	86434	CM 
V	86633	CM 
V	86832	CM 
V	87031	CM 
V	87230	CM 
V	87429	CM 
V	87626	CM 
V	87823	CM 
V	88020	CM 
V	88217	CM 
V	88414	CM 
V	89134	CM 
V	89327	CM 
