OpFlag	PurchaseOrderID	PurchaseOrderDetailID	DueDate	OrderQty	ProductID	UnitPrice	LineTotal	ReceivedQty	RejectedQty	StockedQty	ModifiedDate
V	1	1	2011-04-30 00:00:00	4	1	50.26	201.04	3.00	.00	3.00	2011-04-23 00:00:00
V	2	2	2011-04-30 00:00:00	3	359	45.12	135.36	3.00	.00	3.00	2011-04-23 00:00:00
V	2	3	2011-04-30 00:00:00	3	360	45.5805	136.7415	3.00	.00	3.00	2011-04-23 00:00:00
V	3	4	2011-04-30 00:00:00	550	530	16.086	8847.3	550.00	.00	550.00	2011-04-23 00:00:00
V	4	5	2011-04-30 00:00:00	3	4	57.0255	171.0765	2.00	1.00	1.00	2011-04-23 00:00:00
V	5	6	2011-05-14 00:00:00	550	512	37.086	20397.3	550.00	.00	550.00	2011-05-07 00:00:00
V	6	7	2011-05-14 00:00:00	550	513	26.5965	14628.075	468.00	.00	468.00	2011-05-07 00:00:00
V	7	8	2011-05-14 00:00:00	550	317	27.0585	14882.175	550.00	.00	550.00	2011-05-07 00:00:00
V	7	9	2011-05-14 00:00:00	550	318	33.579	18468.45	550.00	.00	550.00	2011-05-07 00:00:00
V	7	10	2011-05-14 00:00:00	550	319	46.0635	25334.925	550.00	.00	550.00	2011-05-07 00:00:00
V	8	11	2011-05-14 00:00:00	3	403	47.4705	142.4115	3.00	.00	3.00	2011-05-07 00:00:00
V	8	12	2011-05-14 00:00:00	3	404	45.3705	136.1115	3.00	.00	3.00	2011-05-07 00:00:00
V	8	13	2011-05-14 00:00:00	3	405	49.644	148.932	3.00	.00	3.00	2011-05-07 00:00:00
V	8	14	2011-05-14 00:00:00	3	406	45.3705	136.1115	3.00	.00	3.00	2011-05-07 00:00:00
V	8	15	2011-05-14 00:00:00	3	407	43.2705	129.8115	3.00	.00	3.00	2011-05-07 00:00:00
V	9	16	2011-12-28 00:00:00	3	422	47.523	142.569	3.00	.00	3.00	2011-12-21 00:00:00
V	9	17	2011-12-28 00:00:00	3	423	45.423	136.269	3.00	.00	3.00	2011-12-21 00:00:00
V	9	18	2011-12-28 00:00:00	3	424	49.6965	149.0895	3.00	.00	3.00	2011-12-21 00:00:00
V	9	19	2011-12-28 00:00:00	3	425	45.423	136.269	3.00	.00	3.00	2011-12-21 00:00:00
V	9	20	2011-12-28 00:00:00	3	426	43.323	129.969	3.00	.00	3.00	2011-12-21 00:00:00
V	10	21	2011-12-28 00:00:00	3	320	47.4705	142.4115	3.00	.00	3.00	2011-12-21 00:00:00
V	10	22	2011-12-28 00:00:00	3	321	42.798	128.394	3.00	.00	3.00	2011-12-21 00:00:00
V	10	23	2011-12-28 00:00:00	60	322	25.4205	1525.23	60.00	.00	60.00	2011-12-21 00:00:00
V	11	24	2011-12-28 00:00:00	3	438	41.223	123.669	3.00	.00	3.00	2011-12-21 00:00:00
V	11	25	2011-12-28 00:00:00	3	439	45.4965	136.4895	3.00	.00	3.00	2011-12-21 00:00:00
V	11	26	2011-12-28 00:00:00	3	440	41.223	123.669	3.00	.00	3.00	2011-12-21 00:00:00
V	11	27	2011-12-28 00:00:00	3	441	39.123	117.369	3.00	.00	3.00	2011-12-21 00:00:00
V	12	28	2011-12-28 00:00:00	550	941	62.9895	34644.225	550.00	82.00	468.00	2011-12-21 00:00:00
V	13	29	2011-12-28 00:00:00	3	320	45.3705	136.1115	3.00	.00	3.00	2011-12-21 00:00:00
V	13	30	2011-12-28 00:00:00	3	321	40.488	121.464	3.00	.00	3.00	2011-12-21 00:00:00
V	13	31	2011-12-28 00:00:00	60	322	26.3655	1581.93	60.00	.00	60.00	2011-12-21 00:00:00
V	14	32	2011-12-28 00:00:00	3	504	48.762	146.286	3.00	3.00	.00	2011-12-21 00:00:00
V	15	33	2011-12-28 00:00:00	3	497	34.188	102.564	3.00	.00	3.00	2011-12-21 00:00:00
V	16	34	2011-12-28 00:00:00	3	323	50.2635	150.7905	3.00	.00	3.00	2011-12-21 00:00:00
V	17	35	2011-12-29 00:00:00	550	523	10.731	5902.05	550.00	.00	550.00	2011-12-22 00:00:00
V	17	36	2011-12-29 00:00:00	550	524	14.1225	7767.375	550.00	.00	550.00	2011-12-22 00:00:00
V	18	37	2011-12-29 00:00:00	60	492	50.2635	3015.81	60.00	.00	60.00	2011-12-22 00:00:00
V	18	38	2011-12-29 00:00:00	60	493	57.1515	3429.09	60.00	.00	60.00	2011-12-22 00:00:00
V	18	39	2011-12-29 00:00:00	60	494	53.2035	3192.21	60.00	.00	60.00	2011-12-22 00:00:00
V	18	40	2011-12-29 00:00:00	60	495	63.693	3821.58	60.00	.00	60.00	2011-12-22 00:00:00
V	18	41	2011-12-29 00:00:00	60	496	48.909	2934.54	60.00	.00	60.00	2011-12-22 00:00:00
V	19	42	2011-12-29 00:00:00	550	908	21.0945	11601.975	550.00	.00	550.00	2011-12-22 00:00:00
V	19	43	2011-12-29 00:00:00	550	909	30.4395	16741.725	550.00	.00	550.00	2011-12-22 00:00:00
V	19	44	2011-12-29 00:00:00	550	910	40.9395	22516.725	550.00	.00	550.00	2011-12-22 00:00:00
V	19	45	2011-12-29 00:00:00	550	911	21.0945	11601.975	550.00	.00	550.00	2011-12-22 00:00:00
V	19	46	2011-12-29 00:00:00	550	912	30.4395	16741.725	550.00	.00	550.00	2011-12-22 00:00:00
V	20	47	2011-12-29 00:00:00	60	506	9.198	551.88	60.00	.00	60.00	2011-12-22 00:00:00
V	21	48	2011-12-29 00:00:00	550	351	5.775	3176.25	550.00	.00	550.00	2011-12-22 00:00:00
V	21	49	2011-12-29 00:00:00	550	352	1.155	635.25	550.00	.00	550.00	2011-12-22 00:00:00
V	21	50	2011-12-29 00:00:00	550	679	5.775	3176.25	550.00	27.00	523.00	2011-12-22 00:00:00
V	22	51	2011-12-29 00:00:00	550	507	23.394	12866.7	550.00	82.00	468.00	2011-12-22 00:00:00
V	22	52	2011-12-29 00:00:00	550	508	27.6465	15205.575	550.00	.00	550.00	2011-12-22 00:00:00
V	23	53	2011-12-29 00:00:00	550	355	1.365	750.75	550.00	.00	550.00	2011-12-22 00:00:00
V	23	54	2011-12-29 00:00:00	550	940	62.9895	34644.225	550.00	.00	550.00	2011-12-22 00:00:00
V	23	55	2011-12-29 00:00:00	550	535	3.486	1917.3	550.00	.00	550.00	2011-12-22 00:00:00
V	24	56	2011-12-29 00:00:00	550	351	6.195	3407.25	550.00	550.00	.00	2011-12-22 00:00:00
V	24	57	2011-12-29 00:00:00	550	352	1.47	808.5	550.00	550.00	.00	2011-12-22 00:00:00
V	25	58	2011-12-29 00:00:00	550	507	22.1655	12191.025	550.00	.00	550.00	2011-12-22 00:00:00
V	25	59	2011-12-29 00:00:00	550	508	29.2845	16106.475	523.00	.00	523.00	2011-12-22 00:00:00
V	26	60	2011-12-29 00:00:00	3	491	19.9815	59.9445	3.00	.00	3.00	2011-12-22 00:00:00
V	27	61	2011-12-29 00:00:00	3	341	41.1705	123.5115	3.00	.00	3.00	2011-12-22 00:00:00
V	27	62	2011-12-29 00:00:00	3	342	39.0705	117.2115	3.00	.00	3.00	2011-12-22 00:00:00
V	27	63	2011-12-29 00:00:00	3	343	43.344	130.032	3.00	.00	3.00	2011-12-22 00:00:00
V	27	64	2011-12-29 00:00:00	3	344	39.0705	117.2115	3.00	.00	3.00	2011-12-22 00:00:00
V	27	65	2011-12-29 00:00:00	3	345	36.9705	110.9115	3.00	.00	3.00	2011-12-22 00:00:00
V	27	66	2011-12-29 00:00:00	3	346	41.244	123.732	3.00	.00	3.00	2011-12-22 00:00:00
V	28	67	2011-12-29 00:00:00	550	935	31.4895	17319.225	550.00	.00	550.00	2011-12-22 00:00:00
V	28	68	2011-12-29 00:00:00	550	936	48.2895	26559.225	550.00	.00	550.00	2011-12-22 00:00:00
V	29	69	2012-01-22 00:00:00	3	375	43.344	130.032	3.00	.00	3.00	2012-01-15 00:00:00
V	29	70	2012-01-22 00:00:00	3	376	39.0705	117.2115	3.00	.00	3.00	2012-01-15 00:00:00
V	29	71	2012-01-22 00:00:00	3	377	36.9705	110.9115	3.00	.00	3.00	2012-01-15 00:00:00
V	29	72	2012-01-22 00:00:00	3	378	41.244	123.732	3.00	.00	3.00	2012-01-15 00:00:00
V	29	73	2012-01-22 00:00:00	3	379	36.9705	110.9115	3.00	.00	3.00	2012-01-15 00:00:00
V	30	74	2012-01-22 00:00:00	550	476	15.8865	8737.575	550.00	.00	550.00	2012-01-15 00:00:00
V	30	75	2012-01-22 00:00:00	550	477	11.6655	6416.025	550.00	55.00	495.00	2012-01-15 00:00:00
V	30	76	2012-01-22 00:00:00	550	478	11.088	6098.4	550.00	.00	550.00	2012-01-15 00:00:00
V	31	77	2012-01-22 00:00:00	3	402	47.4705	142.4115	3.00	.00	3.00	2012-01-15 00:00:00
V	32	78	2012-01-22 00:00:00	550	510	23.079	12693.45	550.00	82.00	468.00	2012-01-15 00:00:00
V	32	79	2012-01-22 00:00:00	550	511	29.274	16100.7	550.00	.00	550.00	2012-01-15 00:00:00
V	33	80	2012-01-30 00:00:00	3	403	45.3705	136.1115	3.00	.00	3.00	2012-01-23 00:00:00
V	33	81	2012-01-30 00:00:00	3	404	49.644	148.932	3.00	.00	3.00	2012-01-23 00:00:00
V	33	82	2012-01-30 00:00:00	3	405	45.3705	136.1115	3.00	.00	3.00	2012-01-23 00:00:00
V	34	83	2012-01-30 00:00:00	550	525	2.3205	1276.275	550.00	550.00	.00	2012-01-23 00:00:00
V	35	84	2012-01-30 00:00:00	550	526	3.6435	2003.925	550.00	.00	550.00	2012-01-23 00:00:00
V	36	85	2012-01-30 00:00:00	550	908	21.0945	11601.975	468.00	.00	468.00	2012-01-23 00:00:00
V	36	86	2012-01-30 00:00:00	550	909	30.4395	16741.725	550.00	.00	550.00	2012-01-23 00:00:00
V	36	87	2012-01-30 00:00:00	550	913	40.9395	22516.725	550.00	.00	550.00	2012-01-23 00:00:00
V	37	88	2012-01-30 00:00:00	60	356	3.6015	216.09	60.00	.00	60.00	2012-01-23 00:00:00
V	37	89	2012-01-30 00:00:00	60	357	3.9795	238.77	60.00	.00	60.00	2012-01-23 00:00:00
V	38	90	2012-01-30 00:00:00	550	935	31.4895	17319.225	550.00	.00	550.00	2012-01-23 00:00:00
V	38	91	2012-01-30 00:00:00	550	936	48.2895	26559.225	550.00	.00	550.00	2012-01-23 00:00:00
V	39	92	2012-01-30 00:00:00	550	524	12.9675	7132.125	550.00	.00	550.00	2012-01-23 00:00:00
V	40	93	2012-01-30 00:00:00	550	911	21.0945	11601.975	550.00	.00	550.00	2012-01-23 00:00:00
V	40	94	2012-01-30 00:00:00	550	912	30.4395	16741.725	550.00	55.00	495.00	2012-01-23 00:00:00
V	41	95	2012-01-30 00:00:00	550	910	40.9395	22516.725	550.00	.00	550.00	2012-01-23 00:00:00
V	42	96	2012-01-30 00:00:00	550	937	62.9895	34644.225	550.00	82.00	468.00	2012-01-23 00:00:00
V	43	97	2012-01-30 00:00:00	3	463	47.523	142.569	3.00	.00	3.00	2012-01-23 00:00:00
V	43	98	2012-01-30 00:00:00	3	464	45.423	136.269	3.00	.00	3.00	2012-01-23 00:00:00
V	43	99	2012-01-30 00:00:00	3	465	49.6965	149.0895	3.00	.00	3.00	2012-01-23 00:00:00
V	44	100	2012-01-30 00:00:00	3	462	47.6805	143.0415	3.00	3.00	.00	2012-01-23 00:00:00
V	45	101	2012-01-30 00:00:00	550	510	23.4045	12872.475	550.00	.00	550.00	2012-01-23 00:00:00
V	45	102	2012-01-30 00:00:00	550	511	27.867	15326.85	523.00	.00	523.00	2012-01-23 00:00:00
V	46	103	2012-01-30 00:00:00	550	527	6.7515	3713.325	468.00	.00	468.00	2012-01-23 00:00:00
V	47	104	2012-01-30 00:00:00	550	938	31.4895	17319.225	550.00	.00	550.00	2012-01-23 00:00:00
V	47	105	2012-01-30 00:00:00	550	939	48.2895	26559.225	550.00	.00	550.00	2012-01-23 00:00:00
V	47	106	2012-01-30 00:00:00	550	509	36.2775	19952.625	550.00	.00	550.00	2012-01-23 00:00:00
V	48	107	2012-01-30 00:00:00	60	492	50.7465	3044.79	60.00	.00	60.00	2012-01-23 00:00:00
V	48	108	2012-01-30 00:00:00	60	493	58.2645	3495.87	60.00	.00	60.00	2012-01-23 00:00:00
V	48	109	2012-01-30 00:00:00	60	494	50.7465	3044.79	60.00	.00	60.00	2012-01-23 00:00:00
V	48	110	2012-01-30 00:00:00	60	495	62.9265	3775.59	60.00	.00	60.00	2012-01-23 00:00:00
V	48	111	2012-01-30 00:00:00	60	496	49.6545	2979.27	60.00	.00	60.00	2012-01-23 00:00:00
V	49	112	2012-02-03 00:00:00	550	523	10.3845	5711.475	550.00	.00	550.00	2012-01-27 00:00:00
V	50	113	2012-02-03 00:00:00	3	422	47.6805	143.0415	3.00	.00	3.00	2012-01-27 00:00:00
V	50	114	2012-02-03 00:00:00	3	423	45.5805	136.7415	3.00	.00	3.00	2012-01-27 00:00:00
V	50	115	2012-02-03 00:00:00	3	424	49.854	149.562	3.00	.00	3.00	2012-01-27 00:00:00
V	51	116	2012-02-03 00:00:00	3	490	12.7155	38.1465	3.00	.00	3.00	2012-01-27 00:00:00
V	51	117	2012-02-03 00:00:00	3	491	19.9395	59.8185	3.00	.00	3.00	2012-01-27 00:00:00
V	52	118	2012-02-03 00:00:00	3	528	38.157	114.471	3.00	.00	3.00	2012-01-27 00:00:00
V	53	119	2012-02-07 00:00:00	3	505	44.2155	132.6465	3.00	.00	3.00	2012-01-31 00:00:00
V	54	120	2012-02-07 00:00:00	550	938	31.4895	17319.225	550.00	550.00	.00	2012-01-31 00:00:00
V	54	121	2012-02-07 00:00:00	550	939	48.2895	26559.225	550.00	550.00	.00	2012-01-31 00:00:00
V	55	122	2012-02-07 00:00:00	60	358	6.9825	418.95	60.00	.00	60.00	2012-01-31 00:00:00
V	56	123	2012-02-07 00:00:00	3	375	43.2705	129.8115	3.00	.00	3.00	2012-01-31 00:00:00
V	56	124	2012-02-07 00:00:00	3	376	47.544	142.632	3.00	.00	3.00	2012-01-31 00:00:00
V	56	125	2012-02-07 00:00:00	3	377	43.2705	129.8115	3.00	.00	3.00	2012-01-31 00:00:00
V	56	126	2012-02-07 00:00:00	3	378	41.1705	123.5115	3.00	.00	3.00	2012-01-31 00:00:00
V	57	127	2012-02-07 00:00:00	60	356	3.381	202.86	60.00	.00	60.00	2012-01-31 00:00:00
V	57	128	2012-02-07 00:00:00	60	357	4.3155	258.93	60.00	.00	60.00	2012-01-31 00:00:00
V	58	129	2012-02-07 00:00:00	3	375	43.2705	129.8115	3.00	.00	3.00	2012-01-31 00:00:00
V	58	130	2012-02-07 00:00:00	3	376	41.1705	123.5115	3.00	.00	3.00	2012-01-31 00:00:00
V	58	131	2012-02-07 00:00:00	3	377	45.444	136.332	3.00	.00	3.00	2012-01-31 00:00:00
V	58	132	2012-02-07 00:00:00	3	378	41.1705	123.5115	3.00	.00	3.00	2012-01-31 00:00:00
V	58	133	2012-02-07 00:00:00	3	379	39.0705	117.2115	3.00	.00	3.00	2012-01-31 00:00:00
V	59	134	2012-02-07 00:00:00	3	490	12.3585	37.0755	3.00	.00	3.00	2012-01-31 00:00:00
V	60	135	2012-02-07 00:00:00	550	513	39.1965	21558.075	550.00	.00	550.00	2012-01-31 00:00:00
V	61	136	2012-02-07 00:00:00	3	403	45.444	136.332	3.00	.00	3.00	2012-01-31 00:00:00
V	61	137	2012-02-07 00:00:00	3	404	41.1705	123.5115	3.00	.00	3.00	2012-01-31 00:00:00
