\P\	Pos	ShipMethodID\
T	5	5
N	0	0
#
V	328	3
V	437	5
V	549	2
V	662	5
V	774	4
V	890	3
V	1008	3
V	1126	5
V	1238	5
V	1351	5
V	1468	4
V	1582	5
V	1701	4
V	1818	5
V	1930	5
V	2041	5
V	2154	5
V	2273	5
V	2392	2
V	2511	1
V	2622	1
V	2736	2
V	2855	1
V	2974	1
V	3088	2
V	3203	2
V	3313	4
V	3425	5
V	3544	4
V	3656	2
V	3765	5
V	3878	2
V	3996	4
V	4109	1
V	4224	1
V	4339	2
V	4459	1
V	4571	5
V	4690	2
V	4805	2
V	4922	4
V	5041	5
V	5160	5
V	5274	5
V	5386	2
V	5505	1
V	5620	5
V	5740	5
V	5859	5
V	5975	5
V	6088	2
V	6198	4
V	6309	4
V	6422	5
V	6541	1
V	6652	4
V	6765	1
V	6876	4
V	6989	2
V	7098	4
V	7217	4
V	7329	5
V	7447	5
V	7560	5
V	7671	5
V	7786	5
V	7899	5
V	8014	5
V	8128	5
V	8248	1
V	8350	5
V	8467	4
V	8586	2
V	8699	4
V	8818	3
V	8937	5
V	9056	4
V	9175	5
V	9289	4
V	9401	5
V	9514	5
V	9627	2
V	9741	5
V	9854	4
V	9971	3
V	10090	3
V	10209	5
V	10321	5
V	10434	5
V	10551	4
V	10664	5
V	10783	4
V	10895	5
V	11007	5
V	11118	5
V	11231	5
V	11350	5
V	11469	4
V	11588	1
V	11699	1
V	11814	2
V	11934	1
V	12054	1
V	12168	2
V	12284	2
V	12395	4
V	12508	5
V	12628	4
V	12743	2
V	12863	5
V	12977	5
V	13097	4
V	13211	1
V	13327	1
V	13443	2
V	13564	1
V	13677	5
V	13797	2
V	13913	2
V	14031	4
V	14151	5
V	14271	4
V	14381	5
V	14494	2
V	14614	1
V	14730	5
V	14851	5
V	14971	5
V	15088	4
V	15202	2
V	15313	4
V	15425	4
V	15539	5
V	15659	1
V	15771	4
V	15889	1
V	16001	4
V	16114	2
V	16224	4
V	16344	4
V	16457	4
V	16577	4
V	16690	5
V	16799	5
V	16915	4
V	17030	5
V	17146	5
V	17261	5
V	17382	1
V	17485	5
V	17603	4
V	17723	2
V	17837	1
V	17954	3
V	18073	5
V	18193	4
V	18313	5
V	18427	4
V	18540	5
V	18654	4
V	18767	2
V	18882	5
V	18996	4
V	19114	3
V	19234	3
V	19354	4
V	19467	4
V	19581	5
V	19699	4
V	19814	5
V	19934	3
V	20050	5
V	20163	5
V	20275	5
V	20389	5
V	20509	5
V	20629	2
V	20751	1
V	20863	1
V	20978	2
V	21098	1
V	21212	1
V	21327	2
V	21443	2
V	21554	4
V	21670	5
V	21790	4
V	21903	1
V	22023	5
V	22137	2
