\P\	Pos	VendorID\
T	5	5
N	0	0
#		
V	328	1580
V	437	1496
V	549	1494
V	662	1650
V	774	1654
V	890	1664
V	1008	1678
V	1126	1616
V	1238	1492
V	1351	1602
V	1468	1540
V	1582	1628
V	1701	1604
V	1818	1690
V	1930	1566
V	2041	1698
V	2154	1560
V	2273	1692
V	2392	1696
V	2511	1504
V	2622	1544
V	2736	1530
V	2855	1508
V	2974	1694
V	3088	1624
V	3203	1548
V	3313	1598
V	3425	1658
V	3544	1536
V	3656	1568
V	3765	1648
V	3878	1646
V	3996	1672
V	4109	1600
V	4224	1522
V	4339	1570
V	4459	1516
V	4571	1506
V	4690	1626
V	4805	1542
V	4922	1610
V	5041	1638
V	5160	1582
V	5274	1510
V	5386	1526
V	5505	1644
V	5620	1680
V	5740	1584
V	5859	1620
V	5975	1666
V	6088	1592
V	6198	1618
V	6309	1612
V	6422	1586
V	6541	1500
V	6652	1656
V	6765	1572
V	6876	1562
V	6989	1662
V	7098	1682
V	7217	1686
V	7329	1684
V	7447	1534
V	7560	1614
V	7671	1588
V	7786	1622
V	7899	1632
V	8014	1608
V	8128	1576
V	8248	1590
V	8350	1514
V	8467	1498
V	8586	1674
V	8699	1652
V	8818	1578
V	8937	1538
V	9056	1556
V	9175	1554
V	9289	1688
V	9401	1580
V	9514	1496
V	9627	1494
V	9741	1650
V	9854	1654
V	9971	1664
V	10090	1678
V	10209	1616
V	10321	1492
V	10434	1602
V	10551	1540
V	10664	1628
V	10783	1604
V	10895	1690
V	11007	1566
V	11118	1698
V	11231	1560
V	11350	1692
V	11469	1696
V	11588	1504
V	11699	1544
V	11814	1530
V	11934	1508
V	12054	1694
V	12168	1624
V	12284	1548
V	12395	1598
V	12508	1658
V	12628	1536
V	12743	1568
V	12863	1648
V	12977	1646
V	13097	1672
V	13211	1600
V	13327	1522
V	13443	1570
V	13564	1516
V	13677	1506
V	13797	1626
V	13913	1542
V	14031	1610
V	14151	1638
V	14271	1582
V	14381	1510
V	14494	1526
V	14614	1644
V	14730	1680
V	14851	1584
V	14971	1620
V	15088	1666
V	15202	1592
V	15313	1618
V	15425	1612
V	15539	1586
V	15659	1500
V	15771	1656
V	15889	1572
V	16001	1562
V	16114	1662
V	16224	1682
V	16344	1686
V	16457	1684
V	16577	1534
V	16690	1614
V	16799	1588
V	16915	1622
V	17030	1632
V	17146	1608
V	17261	1576
V	17382	1590
V	17485	1514
V	17603	1498
V	17723	1674
V	17837	1652
V	17954	1578
V	18073	1538
V	18193	1556
V	18313	1554
V	18427	1688
V	18540	1580
V	18654	1496
V	18767	1494
V	18882	1650
V	18996	1654
V	19114	1664
V	19234	1678
V	19354	1616
