\P\	Pos	CreditCardID\
T	5	5
N	0	0
#
V	724	16281
V	977	5618
V	1227	1346
V	1479	10456
V	1735	4322
V	1983	806
V	2232	15232
V	2486	13349
V	2740	10370
V	2990	1566
V	3244	15538
V	3491	18017
V	3742	13693
V	3993	3980
V	4241	1417
V	4490	19204
V	4740	11886
V	4992	18153
V	5244	14030
V	5495	5093
V	5747	5439
V	5998	6653
V	6254	5301
V	6506	76
V	6751	13045
V	7004	267
V	7251	2519
V	7499	14612
V	7748	3235
V	7997	12399
V	8250	13054
V	8504	2337
V	8752	242
V	8993	7176
V	9249	8937
V	9500	7083
V	9752	10163
V	10007	1402
V	10251	4319
V	10488	16625
V	10726	5796
V	10961	12860
V	11197	11150
V	11434	8087
V	11671	9497
V	11910	1988
V	12147	7205
V	12385	10912
V	12622	19069
V	12859	4369
V	13097	15524
V	13337	5764
V	13576	3043
V	13812	6213
V	14051	16570
V	14288	15963
V	14529	7985
V	14768	5873
V	15006	5700
V	15244	3049
V	15480	5998
V	15717	2765
V	15955	11950
V	16195	12191
V	16435	16949
V	16671	6336
V	16909	6640
V	17147	8533
V	17382	11407
V	17621	15630
V	17858	2636
V	18097	13323
V	18333	14302
V	18573	10882
V	18813	10600
V	19050	15365
V	19287	6526
V	19527	1416
V	19765	12005
V	20227	18137
V	20690	4679
V	20926	17254
V	21167	1546
V	21405	12980
V	21645	9626
V	21884	5138
V	22123	16044
V	22361	14948
V	22598	12504
V	22835	15541
V	23076	711
V	23313	2736
V	23552	7588
V	23791	9734
V	24027	14614
V	24265	9528
V	24504	12801
V	24743	17093
V	24981	11314
V	25221	7485
V	25460	11678
V	25700	4503
V	25936	17110
V	26176	10644
V	26416	10245
V	26655	10469
V	26895	8810
V	27133	18040
V	27370	7388
V	27610	16136
V	27847	16934
V	28083	12834
V	28323	19057
V	28563	1311
V	28801	6918
V	29039	10653
V	29280	1850
V	29518	9930
V	29756	6901
V	29994	17097
V	30234	5269
V	30473	9916
V	30713	4651
V	30952	15794
V	31190	3584
V	31429	12315
V	31669	2999
V	32129	13143
V	32365	2574
V	32600	2480
V	32839	3696
V	33078	11981
V	33317	103
V	33552	10180
V	33789	14408
V	34028	3803
V	34267	15729
V	34507	10936
V	34747	1500
V	34985	10067
V	35226	15557
V	35466	2467
V	35706	13404
V	35947	7010
V	36182	15755
V	36423	16891
V	36664	10353
V	36904	14752
V	37144	12777
V	37383	8888
V	37622	7442
V	37858	10022
V	38097	1085
V	38331	12070
V	38571	14211
V	38811	10904
V	39051	13485
V	39291	5054
V	39529	12947
V	39766	6912
V	40002	17504
V	40239	7639
V	40478	7138
V	40714	16730
V	40954	13554
V	41193	7542
