\P\	Pos	CurrencyRateID\
T	5	5
N	0	0
#
V	724	4
V	1479	4
V	1735	4
V	3244	4
V	4241	4
V	4740	4
V	5495	4
V	5998	4
V	10488	8
V	10726	2
V	11434	15
V	11910	15
V	12147	15
V	12385	35
V	13097	28
V	13337	28
V	13576	45
V	14051	61
V	14529	54
V	14768	54
V	15006	54
V	15244	71
V	15955	74
V	16195	87
V	16435	80
V	16909	97
V	17147	93
V	17621	113
V	18097	106
V	18573	106
V	18813	119
V	19527	119
V	19765	136
V	19987	138
V	20227	139
V	20450	132
V	20690	152
V	21167	145
V	21405	145
V	21645	158
V	21884	158
V	22123	177
V	23076	177
V	23313	175
V	23552	171
V	23791	191
V	24504	184
V	24743	201
V	25221	197
V	25460	197
V	25700	210
V	26176	210
V	26416	210
V	26655	223
V	26895	223
V	27133	238
V	27610	236
V	28323	236
V	28563	236
V	28801	236
V	29039	253
V	29280	249
V	29518	249
V	29756	249
V	29994	268
V	30234	262
V	30473	262
V	30713	262
V	30952	281
V	31429	281
V	31669	279
V	31890	282
V	32129	275
V	32839	275
V	33078	275
V	33317	275
V	33552	294
V	34028	288
V	34267	288
V	34507	288
V	34747	303
V	34985	308
V	35226	307
V	35466	316
V	35706	321
V	35947	314
V	36423	333
V	36664	331
V	36904	327
V	37144	327
V	37383	327
V	37622	346
V	38097	340
V	38571	340
V	38811	340
V	39051	340
V	39291	340
V	39529	360
V	40478	353
V	40954	353
V	41193	353
V	41431	366
V	42146	366
V	42384	373
V	42625	381
V	42865	385
V	43104	381
V	43342	381
V	43580	379
V	43801	398
V	44512	396
V	44751	392
V	44991	407
V	45500	407
V	46001	407
V	46248	407
V	47012	407
V	47514	407
V	47770	407
V	48020	407
V	48277	407
V	48527	407
V	48780	407
V	51559	407
V	54336	407
V	54592	407
V	55096	407
V	56101	407
V	56603	407
V	56855	407
V	57111	407
V	57366	407
V	57871	407
V	59135	407
V	64152	411
V	64392	405
V	64869	409
V	65110	424
V	65569	418
V	65809	431
V	66048	431
V	66288	431
V	66528	431
V	66766	448
V	67243	444
V	67481	444
V	67720	444
V	67958	464
V	68199	457
V	68675	457
V	68914	457
V	69154	457
V	69391	477
V	69632	470
V	69872	470
V	70347	470
V	70586	470
V	70825	470
V	71063	470
V	71301	483
V	72013	483
V	72252	503
V	72493	503
V	72734	503
V	72975	496
V	73213	509
V	73688	509
V	73927	509
V	74166	522
V	74878	522
V	75118	522
V	75358	522
V	75598	535
V	76531	535
V	76771	550
V	77010	555
V	77487	552
V	77727	548
V	78203	561
V	78915	561
V	79155	561
V	79394	578
V	79872	578
V	80112	594
V	80826	587
V	81521	587
V	81758	613
V	81997	628
V	82473	626
