\P\	Pos	SalesPersonID\
T	5	5
N	0	0
#		
V	724	279
V	977	279
V	1227	282
V	1479	282
V	1735	276
V	1983	280
V	2232	283
V	2486	276
V	2740	277
V	2990	282
V	3244	283
V	3491	275
V	3742	283
V	3993	282
V	4241	275
V	4490	282
V	4740	277
V	4992	275
V	5244	278
V	5495	281
V	5747	278
V	5998	281
V	6254	279
V	6506	275
V	6751	283
V	7004	279
V	7251	279
V	7499	283
V	7748	275
V	7997	275
V	8250	277
V	8504	275
V	8752	277
V	8993	281
V	9249	275
V	9500	279
V	9752	279
V	10007	279
V	10251	275
V	45245	282
V	45500	279
V	45750	278
V	46001	278
V	46248	283
V	46501	274
V	46757	282
V	47012	275
V	47262	282
V	47514	282
V	47770	282
V	48020	278
V	48277	282
V	48527	282
V	48780	275
V	49033	276
V	49286	280
V	49541	279
V	49794	279
V	50047	277
V	50297	276
V	50552	277
V	50805	280
V	51055	280
V	51307	282
V	51559	276
V	51814	275
V	52065	281
V	52317	276
V	52571	276
V	52826	277
V	53073	279
V	53328	275
V	53578	280
V	53831	275
V	54080	282
V	54336	278
V	54592	277
V	54844	282
V	55096	275
V	55348	277
V	55607	276
V	55846	282
V	56101	279
V	56347	282
V	56603	278
V	56855	278
V	57111	282
V	57366	281
V	57621	282
V	57871	280
V	58121	280
V	58374	277
V	58624	276
V	58879	278
V	59135	277
V	59388	279
V	59640	276
V	59889	279
V	60143	279
V	60385	277
V	60639	279
V	60891	277
V	61143	275
V	61393	275
V	61639	283
V	61892	279
V	62144	280
V	62398	276
V	62653	277
V	62906	281
V	63155	275
V	63404	276
V	63659	283
V	63912	275
V	101272	283
V	101526	277
V	101776	282
V	102028	283
V	102279	277
V	102533	276
V	102773	282
V	103030	274
V	103282	278
V	103534	282
V	103786	282
V	104042	282
V	104300	276
V	104549	281
V	104799	276
V	105051	277
V	105302	281
V	105555	277
V	105806	277
V	106059	282
V	106312	281
V	106567	275
V	106816	277
V	107067	279
V	107318	281
V	107572	281
V	107829	279
V	108081	279
V	108330	278
V	108580	278
V	108832	277
V	109082	279
V	109326	277
V	109577	281
V	109826	280
V	110077	277
V	110330	282
V	110586	278
V	110839	276
V	111095	275
V	111349	276
V	111605	279
V	111855	275
V	112106	276
V	112358	281
V	112615	277
V	112868	276
V	113125	279
V	113373	275
V	113617	277
V	113869	277
V	114117	283
V	114367	281
V	114623	279
V	114876	275
V	115129	279
V	115383	275
V	115635	279
V	115867	279
V	116120	275
V	151150	276
V	151398	282
V	151655	282
V	151914	283
V	152168	280
V	152420	276
V	152674	277
V	152927	282
V	153184	275
V	153435	281
V	153688	283
V	153939	275
V	154190	275
V	154441	282
V	154698	282
