\P\	Pos	ShipMethodID\
T	5	5
N	0	0
#		
V	724	5
V	977	5
V	1227	5
V	1479	5
V	1735	5
V	1983	5
V	2232	5
V	2486	5
V	2740	5
V	2990	5
V	3244	5
V	3491	5
V	3742	5
V	3993	5
V	4241	5
V	4490	5
V	4740	5
V	4992	5
V	5244	5
V	5495	5
V	5747	5
V	5998	5
V	6254	5
V	6506	5
V	6751	5
V	7004	5
V	7251	5
V	7499	5
V	7748	5
V	7997	5
V	8250	5
V	8504	5
V	8752	5
V	8993	5
V	9249	5
V	9500	5
V	9752	5
V	10007	5
V	10251	1
V	10488	1
V	10726	1
V	10961	1
V	11197	1
V	11434	1
V	11671	1
V	11910	1
V	12147	1
V	12385	1
V	12622	1
V	12859	1
V	13097	1
V	13337	1
V	13576	1
V	13812	1
V	14051	1
V	14288	1
V	14529	1
V	14768	1
V	15006	1
V	15244	1
V	15480	1
V	15717	1
V	15955	1
V	16195	1
V	16435	1
V	16671	1
V	16909	1
V	17147	1
V	17382	1
V	17621	1
V	17858	1
V	18097	1
V	18333	1
V	18573	1
V	18813	1
V	19050	1
V	19287	1
V	19527	1
V	19765	1
V	19987	1
V	20227	1
V	20450	1
V	20690	1
V	20926	1
V	21167	1
V	21405	1
V	21645	1
V	21884	1
V	22123	1
V	22361	1
V	22598	1
V	22835	1
V	23076	1
V	23313	1
V	23552	1
V	23791	1
V	24027	1
V	24265	1
V	24504	1
V	24743	1
V	24981	1
V	25221	1
V	25460	1
V	25700	1
V	25936	1
V	26176	1
V	26416	1
V	26655	1
V	26895	1
V	27133	1
V	27370	1
V	27610	1
V	27847	1
V	28083	1
V	28323	1
V	28563	1
V	28801	1
V	29039	1
V	29280	1
V	29518	1
V	29756	1
V	29994	1
V	30234	1
V	30473	1
V	30713	1
V	30952	1
V	31190	1
V	31429	1
V	31669	1
V	31890	1
V	32129	1
V	32365	1
V	32600	1
V	32839	1
V	33078	1
V	33317	1
V	33552	1
V	33789	1
V	34028	1
V	34267	1
V	34507	1
V	34747	1
V	34985	1
V	35226	1
V	35466	1
V	35706	1
V	35947	1
V	36182	1
V	36423	1
V	36664	1
V	36904	1
V	37144	1
V	37383	1
V	37622	1
V	37858	1
V	38097	1
V	38331	1
V	38571	1
V	38811	1
V	39051	1
V	39291	1
V	39529	1
V	39766	1
V	40002	1
V	40239	1
V	40478	1
V	40714	1
V	40954	1
V	41193	1
V	41431	1
V	41669	1
V	41906	1
V	42146	1
V	42384	1
V	42625	1
V	42865	1
V	43104	1
V	43342	1
V	43580	1
V	43801	1
V	44036	1
V	44273	1
V	44512	1
V	44751	1
V	44991	5
V	45245	5
V	45500	5
V	45750	5
V	46001	5
