\P\	Pos	TerritoryID\
T	5	5
N	0	0
#
V	724	5
V	977	5
V	1227	6
V	1479	6
V	1735	4
V	1983	1
V	2232	1
V	2486	4
V	2740	3
V	2990	6
V	3244	1
V	3491	3
V	3742	1
V	3993	6
V	4241	2
V	4490	6
V	4740	3
V	4992	5
V	5244	6
V	5495	4
V	5747	6
V	5998	4
V	6254	5
V	6506	2
V	6751	1
V	7004	5
V	7251	5
V	7499	1
V	7748	2
V	7997	2
V	8250	4
V	8504	3
V	8752	4
V	8993	4
V	9249	5
V	9500	5
V	9752	5
V	10007	5
V	10251	6
V	10488	7
V	10726	1
V	10961	4
V	11197	9
V	11434	4
V	11671	9
V	11910	9
V	12147	9
V	12385	4
V	12622	4
V	12859	10
V	13097	9
V	13337	9
V	13576	1
V	13812	8
V	14051	4
V	14288	10
V	14529	9
V	14768	9
V	15006	9
V	15244	1
V	15480	4
V	15717	8
V	15955	10
V	16195	10
V	16435	1
V	16671	9
V	16909	8
V	17147	4
V	17382	9
V	17621	4
V	17858	10
V	18097	4
V	18333	9
V	18573	9
V	18813	1
V	19050	1
V	19287	9
V	19527	9
V	19765	8
V	19987	7
V	20227	10
V	20450	9
V	20690	1
V	20926	10
V	21167	9
V	21405	9
V	21645	9
V	21884	9
V	22123	4
V	22361	1
V	22598	1
V	22835	7
V	23076	7
V	23313	8
V	23552	9
V	23791	1
V	24027	4
V	24265	10
V	24504	9
V	24743	4
V	24981	8
V	25221	9
V	25460	9
V	25700	4
V	25936	9
V	26176	9
V	26416	9
V	26655	9
V	26895	9
V	27133	1
V	27370	6
V	27610	1
V	27847	4
V	28083	9
V	28323	9
V	28563	9
V	28801	9
V	29039	8
V	29280	9
V	29518	9
V	29756	9
V	29994	7
V	30234	9
V	30473	9
V	30713	9
V	30952	4
V	31190	7
V	31429	7
V	31669	8
V	31890	10
V	32129	1
V	32365	1
V	32600	9
V	32839	9
V	33078	9
V	33317	9
V	33552	4
V	33789	7
V	34028	9
V	34267	9
V	34507	9
V	34747	6
V	34985	10
V	35226	7
V	35466	6
V	35706	10
V	35947	1
V	36182	9
V	36423	7
V	36664	8
V	36904	9
V	37144	9
V	37383	9
V	37622	4
V	37858	7
V	38097	1
V	38331	9
V	38571	9
V	38811	9
V	39051	9
V	39291	9
V	39529	4
V	39766	4
V	40002	4
V	40239	10
V	40478	1
V	40714	9
V	40954	9
V	41193	9
V	41431	1
V	41669	4
V	41906	9
V	42146	9
V	42384	10
V	42625	6
V	42865	7
V	43104	6
V	43342	6
V	43580	9
V	43801	4
V	44036	1
V	44273	7
V	44512	8
V	44751	9
V	44991	3
V	45245	6
V	45500	5
V	45750	6
V	46001	6
