OpFlag	SalesOrderID	SalesReasonID	ModifiedDate
V	43697	5	2011-05-31 00:00:00
V	43697	9	2011-05-31 00:00:00
V	43702	5	2011-06-01 00:00:00
V	43702	9	2011-06-01 00:00:00
V	43703	5	2011-06-01 00:00:00
V	43703	9	2011-06-01 00:00:00
V	43706	5	2011-06-02 00:00:00
V	43706	9	2011-06-02 00:00:00
V	43707	5	2011-06-02 00:00:00
V	43707	9	2011-06-02 00:00:00
V	43709	5	2011-06-02 00:00:00
V	43709	9	2011-06-02 00:00:00
V	43710	5	2011-06-02 00:00:00
V	43710	9	2011-06-02 00:00:00
V	43711	5	2011-06-03 00:00:00
V	43711	9	2011-06-03 00:00:00
V	43712	5	2011-06-03 00:00:00
V	43712	9	2011-06-03 00:00:00
V	43713	5	2011-06-04 00:00:00
V	43713	9	2011-06-04 00:00:00
V	43714	5	2011-06-04 00:00:00
V	43714	9	2011-06-04 00:00:00
V	43715	5	2011-06-04 00:00:00
V	43715	9	2011-06-04 00:00:00
V	43716	5	2011-06-04 00:00:00
V	43716	9	2011-06-04 00:00:00
V	43718	5	2011-06-05 00:00:00
V	43718	9	2011-06-05 00:00:00
V	43719	5	2011-06-05 00:00:00
V	43719	9	2011-06-05 00:00:00
V	43720	5	2011-06-05 00:00:00
V	43720	9	2011-06-05 00:00:00
V	43721	5	2011-06-05 00:00:00
V	43721	9	2011-06-05 00:00:00
V	43722	5	2011-06-06 00:00:00
V	43722	9	2011-06-06 00:00:00
V	43724	5	2011-06-06 00:00:00
V	43724	9	2011-06-06 00:00:00
V	43725	5	2011-06-07 00:00:00
V	43725	9	2011-06-07 00:00:00
V	43727	5	2011-06-07 00:00:00
V	43727	9	2011-06-07 00:00:00
V	43728	5	2011-06-08 00:00:00
V	43728	9	2011-06-08 00:00:00
V	43731	5	2011-06-08 00:00:00
V	43731	9	2011-06-08 00:00:00
V	43733	5	2011-06-08 00:00:00
V	43733	9	2011-06-08 00:00:00
V	43734	5	2011-06-09 00:00:00
V	43734	9	2011-06-09 00:00:00
V	43735	5	2011-06-09 00:00:00
V	43735	9	2011-06-09 00:00:00
V	43737	5	2011-06-10 00:00:00
V	43737	9	2011-06-10 00:00:00
V	43738	5	2011-06-10 00:00:00
V	43738	9	2011-06-10 00:00:00
V	43739	5	2011-06-10 00:00:00
V	43739	9	2011-06-10 00:00:00
V	43740	5	2011-06-10 00:00:00
V	43740	9	2011-06-10 00:00:00
V	43741	5	2011-06-11 00:00:00
V	43741	9	2011-06-11 00:00:00
V	43742	5	2011-06-11 00:00:00
V	43742	9	2011-06-11 00:00:00
V	43744	5	2011-06-11 00:00:00
V	43744	9	2011-06-11 00:00:00
V	43745	5	2011-06-12 00:00:00
V	43745	9	2011-06-12 00:00:00
V	43746	5	2011-06-12 00:00:00
V	43746	9	2011-06-12 00:00:00
V	43747	5	2011-06-13 00:00:00
V	43747	9	2011-06-13 00:00:00
V	43748	5	2011-06-13 00:00:00
V	43748	9	2011-06-13 00:00:00
V	43749	5	2011-06-13 00:00:00
V	43749	9	2011-06-13 00:00:00
V	43750	5	2011-06-13 00:00:00
V	43750	9	2011-06-13 00:00:00
V	43751	5	2011-06-13 00:00:00
V	43751	9	2011-06-13 00:00:00
V	43752	5	2011-06-13 00:00:00
V	43752	9	2011-06-13 00:00:00
V	43753	5	2011-06-13 00:00:00
V	43753	9	2011-06-13 00:00:00
V	43754	5	2011-06-14 00:00:00
V	43754	9	2011-06-14 00:00:00
V	43755	5	2011-06-14 00:00:00
V	43755	9	2011-06-14 00:00:00
V	43758	5	2011-06-15 00:00:00
V	43758	9	2011-06-15 00:00:00
V	43759	5	2011-06-15 00:00:00
V	43759	9	2011-06-15 00:00:00
V	43760	5	2011-06-15 00:00:00
