\P\	SalesReasonID	Name	ReasonType	ModifiedDate\
T	5	$	$	D
N	0	1	1	0
#				
V	1	Price	Other	2008-04-30 00:00:00
V	2	On Promotion	Promotion	2008-04-30 00:00:00
V	3	Magazine Advertisement	Marketing	2008-04-30 00:00:00
V	4	Television  Advertisement	Marketing	2008-04-30 00:00:00
V	5	Manufacturer	Other	2008-04-30 00:00:00
V	6	Review	Other	2008-04-30 00:00:00
V	7	Demo Event	Marketing	2008-04-30 00:00:00
V	8	Sponsorship	Marketing	2008-04-30 00:00:00
V	9	Quality	Other	2008-04-30 00:00:00
V	10	Other	Other	2008-04-30 00:00:00
