\P\	ScrapReasonID	Name	ModifiedDate\
T	5	$	D
N	0	1	0
#			
V	1	Brake assembly not as ordered	2008-04-30 00:00:00
V	2	Color incorrect	2008-04-30 00:00:00
V	3	Gouge in metal	2008-04-30 00:00:00
V	4	Drill pattern incorrect	2008-04-30 00:00:00
V	5	Drill size too large	2008-04-30 00:00:00
V	6	Drill size too small	2008-04-30 00:00:00
V	7	Handling damage	2008-04-30 00:00:00
V	8	Paint process failed	2008-04-30 00:00:00
V	9	Primer process failed	2008-04-30 00:00:00
V	10	Seat assembly not as ordered	2008-04-30 00:00:00
V	11	Stress test failed	2008-04-30 00:00:00
V	12	Thermoform temperature too high	2008-04-30 00:00:00
V	13	Thermoform temperature too low	2008-04-30 00:00:00
V	14	Trim length too long	2008-04-30 00:00:00
V	15	Trim length too short	2008-04-30 00:00:00
V	16	Wheel misaligned	2008-04-30 00:00:00
