\P\	Pos	CountryRegionCode\
T	5	$
N	0	1
#
V	253	CA
V	343	US
V	432	US
V	522	US
V	613	AS
V	710	US
V	800	CA
V	899	DE
V	988	US
V	1081	US
V	1173	US
V	1268	US
V	1372	US
V	1464	GB
V	1556	US
V	1647	FM
V	1741	US
V	1832	US
V	1920	DE
V	2010	DE
V	2101	US
V	2191	US
V	2279	US
V	2368	US
V	2460	US
V	2551	US
V	2641	US
V	2733	US
V	2826	CA
V	2918	US
V	3015	CA
V	3107	US
V	3199	US
V	3288	MH
V	3388	US
V	3480	US
V	3573	US
V	3665	MP
V	3773	US
V	3868	US
V	3959	CA
V	4052	US
V	4150	US
V	4246	US
V	4338	CA
V	4434	US
V	4531	US
V	4625	US
V	4719	CA
V	4814	AU
V	4913	CA
V	5018	US
V	5108	DE
V	5211	US
V	5303	US
V	5391	US
V	5483	CA
V	5574	US
V	5664	US
V	5760	CA
V	5864	US
V	5959	PW
V	6048	CA
V	6138	AU
V	6232	US
V	6328	AU
V	6427	US
V	6525	US
V	6621	CA
V	6717	DE
V	6809	AU
V	6901	US
V	6994	US
V	7083	US
V	7171	US
V	7263	VI
V	7361	AU
V	7453	US
V	7544	US
V	7638	US
V	7731	US
V	7828	US
V	7919	CA
V	8018	FR
V	8098	DE
V	8183	DE
V	8263	FR
V	8340	FR
V	8419	FR
V	8499	FR
V	8596	FR
V	8683	FR
V	8772	FR
V	8854	FR
V	8936	FR
V	9017	FR
V	9095	FR
V	9173	FR
V	9254	FR
V	9345	FR
V	9428	FR
V	9509	FR
V	9592	FR
V	9684	FR
V	9763	FR
V	9846	FR
V	9926	FR
V	10011	FR
V	10100	FR
V	10181	FR
V	10264	FR
V	10344	FR
V	10425	FR
V	10504	FR
V	10591	FR
V	10676	FR
V	10755	FR
V	10845	FR
V	10924	FR
V	11006	FR
V	11089	FR
V	11179	FR
V	11259	FR
V	11348	FR
V	11429	FR
V	11508	FR
V	11589	FR
V	11676	FR
V	11756	FR
V	11844	FR
V	11935	FR
V	12016	FR
V	12094	FR
V	12183	FR
V	12265	FR
V	12354	FR
V	12435	FR
V	12515	FR
V	12603	FR
V	12685	FR
V	12778	FR
V	12858	FR
V	12941	FR
V	13023	FR
V	13105	FR
V	13184	FR
V	13263	FR
V	13342	FR
V	13430	FR
V	13517	FR
V	13614	FR
V	13708	FR
V	13804	FR
V	13889	FR
V	13975	FR
V	14056	FR
V	14145	FR
V	14235	FR
V	14316	FR
V	14397	FR
V	14484	FR
V	14572	FR
V	14661	FR
V	14750	FR
V	14832	FR
V	14921	FR
V	15001	FR
V	15081	FR
V	15172	FR
V	15250	FR
V	15333	FR
V	15418	FR
V	15499	FR
V	15588	FR
V	15669	FR
V	15749	FR
V	15847	FR
V	15929	FR
V	16018	FR
V	16110	FR
V	16197	FR
