\P\	Pos	StateProvinceID\
T	5	5
N	0	0
K	0	1
#
V	253	1
V	343	2
V	432	3
V	522	4
V	613	5
V	710	6
V	800	7
V	899	8
V	988	9
V	1081	10
V	1173	11
V	1268	12
V	1372	13
V	1464	14
V	1556	15
V	1647	16
V	1741	17
V	1832	18
V	1920	19
V	2010	20
V	2101	21
V	2191	22
V	2279	23
V	2368	24
V	2460	25
V	2551	26
V	2641	27
V	2733	28
V	2826	29
V	2918	30
V	3015	31
V	3107	32
V	3199	33
V	3288	34
V	3388	35
V	3480	36
V	3573	37
V	3665	38
V	3773	39
V	3868	40
V	3959	41
V	4052	42
V	4150	43
V	4246	44
V	4338	45
V	4434	46
V	4531	47
V	4625	48
V	4719	49
V	4814	50
V	4913	51
V	5018	52
V	5108	53
V	5211	54
V	5303	55
V	5391	56
V	5483	57
V	5574	58
V	5664	59
V	5760	60
V	5864	61
V	5959	62
V	6048	63
V	6138	64
V	6232	65
V	6328	66
V	6427	67
V	6525	68
V	6621	69
V	6717	70
V	6809	71
V	6901	72
V	6994	73
V	7083	74
V	7171	75
V	7263	76
V	7361	77
V	7453	78
V	7544	79
V	7638	80
V	7731	81
V	7828	82
V	7919	83
V	8018	84
V	8098	85
V	8183	86
V	8263	87
V	8340	88
V	8419	89
V	8499	90
V	8596	91
V	8683	92
V	8772	93
V	8854	94
V	8936	95
V	9017	96
V	9095	97
V	9173	98
V	9254	99
V	9345	100
V	9428	101
V	9509	102
V	9592	103
V	9684	104
V	9763	105
V	9846	106
V	9926	107
V	10011	108
V	10100	109
V	10181	110
V	10264	111
V	10344	112
V	10425	113
V	10504	114
V	10591	115
V	10676	116
V	10755	117
V	10845	118
V	10924	119
V	11006	120
V	11089	121
V	11179	122
V	11259	123
V	11348	124
V	11429	125
V	11508	126
V	11589	127
V	11676	128
V	11756	129
V	11844	130
V	11935	131
V	12016	132
V	12094	133
V	12183	134
V	12265	135
V	12354	136
V	12435	137
V	12515	138
V	12603	139
V	12685	140
V	12778	141
V	12858	142
V	12941	143
V	13023	144
V	13105	145
V	13184	146
V	13263	147
V	13342	148
V	13430	149
V	13517	150
V	13614	151
V	13708	152
V	13804	153
V	13889	154
V	13975	155
V	14056	156
V	14145	157
V	14235	158
V	14316	159
V	14397	160
V	14484	161
V	14572	162
V	14661	163
V	14750	164
V	14832	165
V	14921	166
V	15001	167
V	15081	168
V	15172	169
V	15250	170
V	15333	171
V	15418	172
V	15499	173
V	15588	174
V	15669	175
V	15749	176
V	15847	177
V	15929	178
V	16018	179
V	16110	180
V	16197	181
