\P\	Pos	SalesPersonID\
T	5	5
N	0	0
#
V	195	279
V	710	276
V	1236	277
V	1751	275
V	2270	286
V	2779	281
V	3291	283
V	3822	275
V	4345	277
V	4879	279
V	5395	282
V	5938	288
V	6458	281
V	6978	283
V	7490	275
V	8005	288
V	8521	282
V	9029	279
V	9546	275
V	10055	283
V	10573	278
V	11101	279
V	11608	276
V	12127	281
V	12645	279
V	13154	277
V	13666	275
V	14191	282
V	14713	276
V	15242	286
V	15753	279
V	16263	279
V	16786	278
V	17298	286
V	17812	275
V	18328	279
V	18869	279
V	19384	279
V	19902	281
V	20425	276
V	20934	277
V	21445	277
V	21968	276
V	22491	288
V	23006	282
V	23520	275
V	24047	286
V	24564	278
V	25061	276
V	25571	283
V	26081	275
V	26589	279
V	27110	276
V	27617	277
V	28132	281
V	28649	283
V	29168	275
V	29679	275
V	30191	286
V	30711	286
V	31228	278
V	31739	279
V	32266	288
V	32780	282
V	33296	288
V	33826	275
V	34336	275
V	34851	286
V	35359	278
V	35877	280
V	36397	289
V	36913	290
V	37420	286
V	37924	278
V	38438	279
V	38958	283
V	39474	275
V	39982	288
V	40496	276
V	41016	277
V	41539	275
V	42053	275
V	42560	286
V	43092	281
V	43625	276
V	44146	279
V	44667	278
V	45203	282
V	45730	279
V	46243	281
V	46771	283
V	47291	281
V	47811	279
V	48328	281
V	48842	279
V	49363	290
V	49894	276
V	50410	277
V	50929	275
V	51447	282
V	51963	281
V	52479	277
V	52986	277
V	53520	280
V	54052	278
V	54564	279
V	55079	276
V	55598	277
V	56106	290
V	56620	282
V	57126	278
V	57650	279
V	58166	281
V	58688	283
V	59203	275
V	59716	280
V	60242	277
V	60764	281
V	61276	283
V	61800	275
V	62319	288
V	62840	289
V	63346	280
V	63869	288
V	64397	275
V	64914	277
V	65426	275
V	65944	277
V	66459	275
V	66978	286
V	67492	282
V	68003	279
V	68530	281
V	69048	283
V	69556	275
V	70077	278
V	70594	286
V	71120	282
V	71648	279
V	72149	281
V	72671	281
V	73180	283
V	73692	275
V	74213	288
V	74726	282
V	75241	288
V	75752	275
V	76268	280
V	76791	289
V	77308	290
V	77821	282
V	78332	290
V	78835	289
V	79354	277
V	79875	280
V	80396	289
V	80912	275
V	81435	288
V	81942	282
V	82472	279
V	82986	283
V	83495	281
V	84020	279
V	84543	282
V	85073	279
V	85597	278
V	86120	286
V	86636	282
V	87157	290
V	87676	281
V	88192	283
V	88708	275
V	89229	288
V	89747	277
V	90273	281
V	90796	277
V	91318	276
V	91832	288
V	92342	282
V	92857	279
V	93372	281
V	93881	279
V	94397	283
V	94918	289
V	95430	280
V	95951	277
V	96471	275
V	96982	286
V	97504	278
