\P\	Pos	ProductID\
T	5	5
N	0	0
#
V	235	784
V	302	794
V	369	797
V	436	798
V	503	799
V	570	800
V	637	801
V	704	954
V	771	955
V	838	966
V	905	968
V	972	972
V	1039	973
V	1106	974
V	1173	977
V	1240	981
V	1307	989
V	1374	991
V	1441	998
V	1508	514
V	1575	516
V	1642	517
V	1709	518
V	1776	519
V	1843	521
V	1910	522
V	1977	722
V	2044	737
V	2111	746
V	2178	805
V	2245	806
V	2313	807
V	2380	808
V	2447	810
V	2514	811
V	2581	812
V	2648	813
V	2715	815
V	2782	816
V	2849	818
V	2916	819
V	2983	820
V	3050	821
V	3117	822
V	3184	823
V	3251	824
V	3318	826
V	3385	827
V	3452	828
V	3519	829
V	3586	833
V	3653	834
V	3720	835
V	3787	836
V	3854	839
V	3921	887
V	3988	888
V	4055	890
V	4122	892
V	4189	894
V	4257	904
V	4324	925
V	4391	943
V	4458	945
V	4526	947
V	4593	949
V	4660	950
V	4728	951
V	4795	994
V	4863	995
V	4930	996
V	4997	3
V	5064	324
V	5132	327
V	5200	328
V	5268	329
V	5336	330
V	5404	398
V	5472	399
V	5540	400
V	5608	401
V	5676	529
V	5744	532
V	5812	533
V	5880	534
V	5948	802
V	6015	803
V	6082	804
V	6149	316
V	6217	331
V	6285	350
V	6353	531
V	6421	875
V	6493	953
V	6566	965
V	6639	712
V	6712	885
V	6787	886
V	6862	889
V	6937	892
V	7012	893
V	7087	894
V	7161	895
V	7235	896
V	7310	899
V	7385	900
V	7459	907
V	7531	914
V	7604	916
V	7678	941
V	7752	945
V	7826	947
V	7900	948
V	7972	949
V	8046	951
V	8121	952
V	8195	953
V	8268	954
V	8344	955
V	8420	956
V	8496	957
V	8572	958
V	8646	959
V	8720	960
V	8793	962
V	8867	963
V	8941	965
V	9015	966
V	9090	967
V	9165	968
V	9240	969
V	9316	970
V	9390	971
V	9464	972
V	9538	978
V	9612	979
V	9686	994
V	9760	996
V	9834	896
V	9908	707
V	9980	708
V	10053	711
V	10126	712
V	10199	714
V	10273	715
V	10347	743
V	10420	748
V	10494	779
V	10570	781
V	10646	784
V	10722	808
V	10796	809
V	10869	810
V	10943	859
V	11017	864
V	11091	865
V	11164	868
V	11237	869
V	11312	870
V	11384	876
V	11453	877
V	11524	880
V	11597	881
V	11671	883
V	11745	884
V	11820	904
V	11895	905
V	11969	917
V	12043	918
V	12117	920
V	12191	924
V	12266	925
V	12341	935
V	12414	936
V	12488	937
V	12562	980
V	12637	982
V	12711	983
V	12786	984
V	12861	985
V	12936	986
V	13011	988
V	13085	989
V	13159	990
V	13234	991
V	13309	992
V	13384	993
V	13459	743
V	13533	748
V	13606	780
V	13682	783
