\P\	Pos	ProductID\
T	5	5
N	0	0
#
V	247	722
V	342	725
V	439	726
V	534	729
V	631	730
V	728	732
V	825	733
V	920	738
V	1017	741
V	1112	742
V	1208	743
V	1304	745
V	1400	747
V	1496	748
V	1592	749
V	1688	753
V	1786	754
V	1884	755
V	1982	756
V	2080	758
V	2178	760
V	2276	761
V	2374	762
V	2472	763
V	2570	764
V	2668	765
V	2766	766
V	2864	767
V	2960	768
V	3058	770
V	3156	771
V	3254	772
V	3350	773
V	3448	774
V	3544	775
V	3642	776
V	3740	777
V	3838	778
V	3936	516
V	4036	517
V	4136	518
V	4235	519
V	4333	717
V	4429	721
V	4527	722
V	4625	723
V	4723	724
V	4819	725
V	4917	726
V	5015	727
V	5113	729
V	5211	730
V	5309	731
V	5407	733
V	5505	734
V	5603	735
V	5701	736
V	5799	738
V	5897	739
V	5993	740
V	6091	741
V	6187	743
V	6285	744
V	6383	745
V	6481	747
V	6579	748
V	6677	806
V	6777	807
V	6877	810
V	6979	811
V	7079	812
V	7177	813
V	7275	817
V	7375	818
V	7475	819
V	7573	820
V	7671	825
V	7771	826
V	7871	827
V	7969	828
V	8067	894
V	8167	945
V	8267	950
V	8367	951
V	8467	994
V	8569	995
V	8667	996
V	8767	3
V	8867	324
V	8969	327
V	9069	328
V	9171	329
V	9271	398
V	9371	399
V	9471	400
V	9571	401
V	9671	529
V	9771	532
V	9873	533
V	9973	534
V	10074	802
V	10175	803
V	10276	804
V	10377	316
V	10480	331
V	10583	350
V	10684	531
V	10785	749
V	10882	750
V	10979	771
V	11076	778
V	11173	516
V	11270	519
V	11367	717
V	11464	718
V	11561	745
V	11658	748
V	11755	807
V	11852	810
V	11949	813
V	12046	817
V	12143	820
V	12240	825
V	12337	828
V	12434	894
V	12531	945
V	12628	951
V	12725	996
V	12822	3
V	12919	324
V	13016	327
V	13113	328
V	13210	329
V	13307	398
V	13404	399
V	13501	401
V	13598	529
V	13695	532
V	13794	533
V	13891	534
V	13988	804
V	14085	316
V	14182	331
V	14279	350
V	14376	531
V	14473	751
V	14570	752
V	14667	753
V	14764	764
V	14861	517
V	14958	519
V	15055	719
V	15152	720
V	15249	721
V	15346	727
V	15443	806
V	15540	807
V	15637	811
V	15734	813
V	15831	818
V	15928	820
V	16025	826
V	16122	828
V	16219	894
V	16316	945
V	16413	950
V	16510	951
V	16607	994
V	16704	996
V	16801	3
V	16898	324
V	16997	327
V	17094	329
V	17193	398
V	17290	399
V	17387	400
V	17484	401
V	17581	529
V	17678	532
V	17777	533
V	17874	534
V	17971	802
V	18068	804
V	18165	316
V	18264	331
V	18363	350
V	18460	531
V	18557	750
V	18654	753
V	18751	519
V	18848	718
