\P\	Pos	ScrapReasonID\
T	5	5
N	0	0
#		
V	247	7
V	4235	11
V	6979	14
V	8569	15
V	9171	16
V	48562	4
V	100094	1
V	127286	3
V	128687	4
V	129588	7
V	131520	9
V	132344	10
V	132967	11
V	133692	9
V	172087	1
V	186822	3
V	236897	12
V	252450	13
V	252860	15
V	254081	15
V	254492	16
V	254701	1
V	255217	2
V	255941	16
V	284385	8
V	348320	1
V	363743	6
V	367348	9
V	368975	10
V	369591	1
V	383878	3
V	414365	6
V	485518	11
V	488214	12
V	488716	13
V	489218	14
V	489720	1
V	491529	1
V	492030	2
V	492531	5
V	494660	10
V	497455	14
V	539489	13
V	548335	1
V	561110	4
V	572887	13
V	587609	11
V	616439	13
V	617441	14
V	617943	16
V	619253	5
V	622572	5
V	622880	9
V	625152	11
V	665646	8
V	673647	3
V	700228	6
V	741531	2
V	758888	8
V	762489	11
V	764117	12
V	764733	7
V	772156	4
V	799659	13
V	824211	14
V	844851	14
V	874311	14
V	884245	11
V	892045	12
V	892547	13
V	893049	14
V	894051	15
V	894553	1
V	895862	2
V	896363	3
V	897364	5
V	898680	9
V	901257	10
V	901879	3
V	916926	4
V	937691	16
V	964159	10
V	1009999	11
V	1010506	11
V	1011013	12
V	1011520	14
V	1012843	2
V	1015268	3
V	1016196	4
V	1016507	7
V	1018801	1
V	1094365	7
V	1098338	10
V	1149194	16
V	1153034	1
V	1153540	3
V	1155375	4
V	1155685	6
V	1157543	8
V	1158375	8
V	1158480	7
V	1178024	9
V	1228685	3
V	1284425	9
V	1288048	10
V	1288555	10
V	1289062	11
V	1289569	12
V	1290076	14
V	1291399	16
V	1292411	1
V	1292917	3
V	1294756	4
V	1295066	6
V	1296946	8
V	1297783	8
V	1297890	11
V	1299581	1
V	1303554	16
V	1312518	9
V	1397927	16
V	1411825	2
V	1433383	3
V	1433889	5
V	1434900	5
V	1435406	9
V	1437738	10
V	1438245	13
V	1440085	14
V	1440396	1
V	1442272	2
V	1443108	2
V	1443215	3
V	1493680	9
V	1517386	11
V	1528348	3
V	1543245	8
V	1576339	8
V	1576542	3
V	1583221	6
V	1585565	9
V	1587203	10
V	1587617	11
V	1588439	12
V	1588946	13
V	1589567	16
V	1591248	1
V	1622218	7
V	1626191	3
V	1692931	4
V	1703759	14
V	1719642	2
V	1741866	3
V	1742380	3
V	1742888	3
V	1742992	4
V	1743506	5
V	1744012	6
V	1744518	6
V	1745024	9
V	1746443	10
V	1747364	12
V	1748483	13
V	1749000	13
V	1749204	15
V	1750428	16
V	1750840	1
V	1751251	5
V	1754547	6
V	1754761	6
V	1755289	8
V	1756028	11
V	1887366	14
V	1918910	15
V	1919419	4
